step,train_loss,train_acc,val_loss,val_acc
0,4.7815,1.37,4.6817,0.78
50,4.5762,1.76,4.6163,0.50
100,4.5735,1.76,4.6381,0.28
150,4.4970,4.30,4.7106,0.14
200,4.3319,10.74,4.7498,0.50
250,4.1426,12.50,4.6052,1.20
300,3.7859,19.34,4.2700,4.75
350,3.1751,32.42,3.5413,13.10
400,2.3612,62.70,2.5740,40.08
450,1.9046,78.32,1.9674,69.55
500,1.6530,83.01,1.7207,74.93
550,1.4368,93.75,1.4335,86.97
600,1.2183,96.29,1.3171,95.82
650,1.5058,77.93,1.3979,86.69
700,1.2005,94.53,1.3243,87.82
750,1.4351,84.38,2.7104,31.09
800,1.1157,93.36,1.0887,95.68
850,1.1609,92.97,1.1629,98.23
900,1.0764,96.48,1.3267,71.39
950,1.2550,76.76,1.1851,89.80
1000,1.0797,96.09,1.1858,91.78
1050,1.5218,81.64,1.3765,93.34
1100,1.4307,66.41,1.3118,86.19
1150,1.2380,85.74,1.1627,81.59
1200,1.1853,93.16,1.2372,90.72
1250,1.4126,85.55,1.4099,81.73
1300,1.7434,64.84,2.3293,33.57
1350,1.5024,60.16,1.5367,72.03
1400,1.5003,60.55,1.3024,87.54
1450,1.9122,49.02,2.3931,28.19
1500,2.0056,36.33,2.2019,32.15
1550,1.5510,64.26,1.5615,58.00
1600,1.5198,78.71,2.1736,38.10
1650,1.5592,49.02,2.6340,15.65
1700,1.7209,55.66,1.6969,55.17
1750,1.3140,80.66,1.2855,81.02
1800,1.3927,76.56,1.3262,78.68
1850,1.4527,82.23,1.8599,50.71
1900,1.2397,85.16,1.2206,84.35
1950,1.2044,75.78,1.6414,37.61
2000,1.3041,87.50,1.2736,85.06
2050,1.1736,91.99,1.3146,81.66
2100,1.8305,49.41,1.7859,45.18
2150,1.4354,63.67,1.6202,53.82
2200,1.0968,94.92,1.1502,94.55
2250,2.0366,33.40,2.1856,35.34
2300,1.0953,93.55,1.2036,88.60
2350,1.2189,87.70,2.2121,28.82
2400,1.3776,64.06,1.1873,80.31
2450,1.0863,90.82,1.1472,83.78
2500,1.0326,97.07,1.1660,81.87
2550,1.1179,88.67,1.3051,68.77
2600,1.0359,96.48,0.9681,96.03
2650,2.1021,27.15,1.3827,72.17
2700,1.1301,74.41,1.6839,32.72
2750,1.0344,94.73,0.9646,97.80
2800,1.6436,60.35,1.7593,56.30
2850,0.9704,93.55,1.1784,72.45
2900,2.2303,44.53,2.0875,44.05
2950,1.3027,70.31,1.1392,84.56
3000,1.4606,57.62,1.3969,73.65
3050,1.1849,89.65,1.1195,95.04
3100,0.9099,98.44,0.9440,96.25
3150,2.9069,38.28,3.0754,31.30
3200,1.0099,93.95,1.1145,81.73
3250,0.9220,97.07,0.9519,94.83
3300,1.0078,92.77,1.1092,91.22
3350,1.0731,87.70,1.0579,95.33
3400,1.1385,90.23,1.1085,90.58
3450,1.0715,92.77,1.0783,86.61
3500,0.8904,94.14,0.8831,97.31
3550,0.8344,100.00,0.8704,98.80
3600,1.5709,67.19,1.4716,80.24
3650,1.2549,82.23,1.2494,84.63
3700,1.0741,79.69,1.0228,91.57
3750,1.2713,83.59,1.2392,81.73
3800,0.8875,97.85,0.8727,99.29
3850,0.8296,98.05,0.8253,99.50
