step,train_loss,train_acc,val_loss,val_acc
0,4.8280,1.37,4.7915,0.89
50,4.5825,1.56,4.5999,0.74
100,4.5788,1.17,4.5999,0.57
150,4.5814,0.78,4.6049,0.39
200,4.5691,1.56,4.6113,0.46
250,4.5609,1.76,4.6218,0.43
300,4.5583,1.76,4.6418,0.35
350,4.5323,1.56,4.6669,0.21
400,4.5152,2.93,4.7021,0.14
450,4.4760,3.71,4.7524,0.50
500,4.4345,4.49,4.8233,0.18
550,4.3640,5.27,4.9293,0.25
600,4.3196,6.05,4.9872,0.32
650,4.2540,8.20,4.9920,0.21
700,4.2134,9.77,4.9815,0.35
750,4.1781,9.18,4.9809,0.32
800,4.0959,13.28,4.9650,0.35
850,4.1011,12.70,4.9552,0.74
900,3.9563,18.75,4.9371,0.74
950,3.9681,16.02,4.9222,0.74
1000,3.9140,17.77,4.9033,1.13
1050,3.6749,25.78,4.8844,1.17
1100,3.7520,23.44,4.8624,1.38
1150,3.6633,24.80,4.8349,1.38
1200,3.5472,26.76,4.8143,1.70
1250,3.5162,26.76,4.7883,1.74
1300,3.5213,28.71,4.7624,1.66
1350,3.4065,32.62,4.7385,1.81
1400,3.3656,32.62,4.7124,2.27
1450,3.2588,37.30,4.6904,2.23
1500,3.2604,34.38,4.6641,2.80
1550,3.1962,36.13,4.6319,2.62
1600,3.1544,37.30,4.6055,2.80
1650,3.0713,37.11,4.5760,3.22
1700,2.9600,41.80,4.5425,3.08
1750,2.9862,39.06,4.5105,3.97
1800,2.8972,42.97,4.4766,4.04
1850,2.8083,46.68,4.4374,4.50
1900,2.7352,48.05,4.4073,4.78
1950,2.7601,44.73,4.3698,5.63
2000,2.6046,53.12,4.3288,6.20
2050,2.5764,51.17,4.2909,6.48
2100,2.5192,55.86,4.2498,6.77
2150,2.4402,56.45,4.2175,7.16
2200,2.4445,56.45,4.1676,7.51
2250,2.3378,58.40,4.1184,8.54
2300,2.2622,58.98,4.0757,9.17
2350,2.1784,61.91,4.0272,10.10
2400,2.1435,62.11,3.9740,10.52
2450,2.0834,62.11,3.9238,10.70
2500,2.0461,63.48,3.8714,12.08
2550,1.9962,66.60,3.8156,13.28
2600,2.0074,63.09,3.7731,13.00
2650,1.8620,70.31,3.7151,14.24
2700,1.8284,69.53,3.6602,15.13
2750,1.7740,71.68,3.6043,15.94
2800,1.6443,75.00,3.5606,16.86
2850,1.6574,74.80,3.5084,17.82
2900,1.6036,73.83,3.4452,19.45
2950,1.5968,76.76,3.3787,20.33
3000,1.5304,75.59,3.3295,21.43
3050,1.4589,78.52,3.2534,22.81
3100,1.4766,76.56,3.1971,24.05
3150,1.3751,79.49,3.1396,26.11
3200,1.3855,78.32,3.0802,27.45
3250,1.2215,85.35,3.0109,29.54
3300,1.3023,80.08,2.9602,30.39
3350,1.2134,83.40,2.9004,31.99
3400,1.1205,86.52,2.8235,34.50
3450,1.0887,86.91,2.7645,35.71
3500,1.0565,86.13,2.7016,37.58
3550,0.9765,89.45,2.6263,38.61
3600,0.9454,89.06,2.5547,40.49
3650,0.9194,88.48,2.4673,43.75
3700,0.8810,91.60,2.4035,44.92
3750,0.8147,93.55,2.3359,47.01
3800,0.7891,93.95,2.2459,50.23
3850,0.7348,93.16,2.1654,52.28
3900,0.7700,91.99,2.0941,53.52
3950,0.6501,95.70,2.0080,56.29
4000,0.6281,96.48,1.9520,56.96
4050,0.6126,96.88,1.8689,59.65
4100,0.5432,97.27,1.8032,61.60
4150,0.6116,94.92,1.7327,62.81
4200,0.5179,97.27,1.6669,64.26
4250,0.4916,96.09,1.5990,65.89
4300,0.4502,99.02,1.5293,66.60
4350,0.4305,98.44,1.4603,68.79
4400,0.3959,98.63,1.3944,70.10
4450,0.3695,99.80,1.3228,72.02
4500,0.3474,98.83,1.2569,74.07
4550,0.3248,99.61,1.1889,75.03
4600,0.2973,99.22,1.1348,75.45
4650,0.2586,99.80,1.0639,77.29
4700,0.2543,99.80,0.9991,78.85
4750,0.2116,99.61,0.9426,79.38
4800,0.2074,99.61,0.8865,81.37
4850,0.1942,100.00,0.8284,82.50
4900,0.1678,100.00,0.7622,84.13
4950,0.1532,100.00,0.7199,84.77
5000,0.1424,100.00,0.6519,86.36
5050,0.1291,100.00,0.5933,88.20
5100,0.1089,100.00,0.5401,88.91
5150,0.0998,100.00,0.5003,90.26
5200,0.0897,100.00,0.4476,90.97
5250,0.0769,100.00,0.4041,92.21
5300,0.0707,100.00,0.3685,92.88
5350,0.0607,100.00,0.3260,94.51
5400,0.0523,100.00,0.2924,95.08
5450,0.0451,100.00,0.2505,96.25
5500,0.0400,100.00,0.2173,97.13
5550,0.0338,100.00,0.1876,97.56
5600,0.0286,100.00,0.1568,98.48
5650,0.0242,100.00,0.1422,98.48
5700,0.0216,100.00,0.1158,99.11
5750,0.0177,100.00,0.0969,99.40
5800,0.0156,100.00,0.0801,99.50
