step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.95,4.7043,0.94
50,3.9739,15.43,5.0205,0.79
100,2.8626,44.14,5.2187,2.95
150,1.5197,79.49,5.4199,6.09
200,0.5527,98.63,5.6062,9.03
250,0.1938,100.00,5.6653,11.76
300,0.1198,99.80,5.6253,13.19
350,0.0913,100.00,5.5504,14.18
400,0.0812,100.00,5.4750,14.81
450,0.0747,100.00,5.4036,15.66
500,0.0705,100.00,5.3427,16.23
550,0.0693,100.00,5.3066,16.34
600,0.0585,100.00,5.2525,17.22
650,3.6979,11.33,5.4558,2.10
700,0.1348,99.80,5.6969,13.35
750,0.0532,100.00,5.5873,15.70
800,0.0539,100.00,5.4585,16.62
850,0.0571,100.00,5.3552,17.15
900,0.0587,100.00,5.2829,17.42
950,0.0611,100.00,5.2411,17.84
1000,0.0672,100.00,5.2069,18.00
1050,1.2590,77.34,5.8725,7.16
1100,0.0636,100.00,5.7372,16.07
1150,0.0444,100.00,5.5778,17.10
1200,0.0499,100.00,5.4426,17.70
1250,0.0550,100.00,5.3330,18.18
1300,0.0588,100.00,5.2593,18.70
1350,0.2539,99.61,5.7236,12.87
1400,0.0435,100.00,5.6584,17.06
1450,0.0448,100.00,5.5042,18.17
1500,0.0517,100.00,5.3747,18.42
1550,0.0569,100.00,5.2926,18.87
1600,1.8762,56.64,5.8385,5.14
1650,0.0862,100.00,5.7024,15.79
1700,0.0470,100.00,5.5825,17.54
1750,0.0509,100.00,5.4294,18.49
1800,0.0583,100.00,5.3517,18.62
1850,4.7191,5.27,5.7038,1.60
1900,0.2806,99.41,5.6883,13.28
1950,0.0558,100.00,5.6230,17.46
2000,0.0540,100.00,5.4841,17.95
2050,0.0584,100.00,5.3648,18.66
2100,1.5570,65.43,5.8305,6.11
2150,0.0795,100.00,5.6972,16.31
2200,0.0507,100.00,5.5532,17.77
2250,0.0597,100.00,5.4179,18.52
2300,0.0800,100.00,5.3456,18.61
2350,0.3214,98.83,5.6756,13.69
2400,0.0583,100.00,5.5836,17.94
2450,0.0573,100.00,5.4501,18.52
2500,0.0700,100.00,5.3632,19.07
2550,0.0795,100.00,5.3240,18.83
2600,0.3575,98.83,5.6060,13.62
2650,0.0631,100.00,5.5860,17.93
2700,0.0573,100.00,5.4378,18.82
2750,0.0639,100.00,5.3284,19.70
2800,1.2197,78.12,5.5949,7.78
2850,0.0692,100.00,5.5850,17.67
2900,0.0542,100.00,5.4583,18.96
2950,0.0614,100.00,5.3206,19.61
3000,3.5564,17.58,5.3648,2.83
3050,0.1440,100.00,5.4701,17.29
3100,0.0543,100.00,5.3917,19.56
3150,0.0612,100.00,5.2561,20.29
3200,0.0683,100.00,5.1527,20.42
3250,1.0202,84.96,5.3575,9.62
3300,0.0905,100.00,5.2515,18.95
3350,0.0636,100.00,5.1666,20.19
3400,0.0681,100.00,5.0652,20.66
3450,3.6603,14.06,4.8791,2.18
3500,0.1598,100.00,5.0777,17.84
3550,0.0652,100.00,5.0253,19.99
3600,0.0668,100.00,4.9340,20.72
3650,0.0737,100.00,4.8403,21.30
3700,3.6336,12.70,5.1849,1.79
3750,0.2934,99.80,4.7778,16.76
3800,0.0949,100.00,4.7367,20.18
3850,0.0788,100.00,4.6752,20.69
3900,0.0915,100.00,4.5792,21.51
3950,1.4543,71.48,4.9865,6.56
4000,0.1222,100.00,4.5616,19.44
4050,0.0678,100.00,4.4802,21.20
4100,0.0712,100.00,4.3839,21.91
4150,0.0828,100.00,4.3527,21.61
4200,0.6449,92.19,4.3277,15.06
4250,0.0843,100.00,4.2189,21.82
4300,0.0709,100.00,4.1555,22.47
4350,0.0726,100.00,4.0689,23.14
4400,0.0825,100.00,4.0147,23.15
4450,0.3647,97.85,3.8522,18.86
4500,0.0798,100.00,3.7980,23.34
4550,0.0728,100.00,3.7453,24.15
4600,0.0824,100.00,3.6895,24.49
4650,2.1910,41.41,3.9713,10.67
4700,0.1366,100.00,3.2988,25.14
4750,0.0792,100.00,3.2688,26.39
4800,0.0771,100.00,3.2138,27.02
4850,0.0994,100.00,3.1897,27.32
4900,0.6539,93.55,2.9448,23.30
4950,0.1381,100.00,2.6364,30.78
5000,0.0898,100.00,2.5852,32.04
5050,0.0953,100.00,2.5490,32.58
5100,0.1114,100.00,2.4929,33.57
5150,1.8696,51.76,3.1965,18.56
5200,0.1171,100.00,2.0525,39.76
5250,0.0849,100.00,2.0229,40.84
5300,0.0837,100.00,2.0069,41.14
5350,1.8476,51.76,2.9386,21.34
5400,0.1504,100.00,1.4250,55.32
5450,0.1014,100.00,1.4208,55.85
5500,0.0930,100.00,1.4257,56.21
5550,0.1021,100.00,1.4057,57.22
5600,0.8151,86.52,1.7645,46.17
5650,0.1462,100.00,0.9534,72.88
5700,0.1068,100.00,0.9110,74.59
5750,0.1042,100.00,0.8781,76.72
5800,0.0950,100.00,0.8257,80.36
5850,0.2171,99.61,0.6980,85.38
5900,0.0947,100.00,0.4351,95.01
5950,0.0865,100.00,0.3753,97.79
6000,0.0871,100.00,0.3403,98.82
6050,0.2569,99.80,0.4986,94.36
6100,0.1035,100.00,0.2493,99.50
