step,train_loss,train_acc,val_loss,val_acc
0,4.8041,1.37,4.6887,0.99
50,4.5008,1.95,4.7124,0.57
100,4.0865,12.70,4.9921,1.18
150,3.5004,28.52,4.9351,2.43
200,2.8638,42.38,4.7498,4.98
250,2.0071,66.41,4.4562,11.15
300,1.2955,82.62,3.9393,21.84
350,0.7790,93.95,3.3976,34.19
400,0.5090,96.88,2.9979,43.90
450,0.2906,99.41,2.7111,49.23
500,0.1589,100.00,2.5290,52.07
550,0.1229,100.00,2.3965,53.22
600,0.0970,99.80,2.2525,54.66
650,0.0609,100.00,2.1739,55.77
700,0.0585,100.00,2.1353,55.32
750,0.0417,100.00,2.0731,56.46
800,0.0314,100.00,1.9833,56.88
850,0.0291,100.00,1.9378,57.64
900,0.0584,99.80,1.8665,58.23
950,0.0244,100.00,1.7096,59.60
1000,0.0100,100.00,1.5815,60.73
1050,4.4403,9.96,4.6142,10.48
1100,0.0921,100.00,1.3741,63.97
1150,0.0459,100.00,1.1882,67.39
1200,0.0445,100.00,1.0843,69.92
1250,0.1366,99.80,1.0528,71.40
1300,0.0488,100.00,0.7422,80.66
1350,0.0453,100.00,0.6224,85.01
1400,0.0353,100.00,0.4709,89.96
1450,2.5535,41.21,2.6078,34.73
1500,0.0477,100.00,0.1929,98.68
1550,0.0366,100.00,0.1453,99.62
