step,train_loss,train_acc,val_loss,val_acc
0,4.7789,0.59,4.6916,1.03
50,4.5827,1.76,4.6652,0.39
100,4.2514,10.35,5.0322,0.52
150,3.6037,27.54,4.9912,1.67
200,2.8581,42.77,4.8588,4.16
250,1.9878,60.94,4.5640,10.38
300,1.2302,80.47,4.0984,21.16
350,0.6495,92.38,3.5690,34.49
400,0.3103,97.66,3.1800,46.14
450,0.1441,99.61,2.9056,54.07
500,0.0790,99.80,2.7700,58.17
550,0.0491,100.00,2.6944,60.50
600,0.0425,100.00,2.7481,59.65
650,0.0583,99.61,2.6404,61.05
700,0.0433,100.00,2.7275,59.41
750,0.0253,99.80,2.6224,61.81
800,0.0163,100.00,2.5339,62.99
850,0.0220,99.80,2.4879,63.45
900,0.0529,99.61,2.6440,59.23
950,0.0123,99.80,2.3635,64.66
1000,0.0053,100.00,2.2956,65.76
1050,0.0227,99.80,2.3099,64.88
1100,0.0383,99.41,2.4240,60.50
1150,0.0112,100.00,2.1567,65.18
1200,0.0051,100.00,2.0314,65.97
1250,0.0033,100.00,1.9882,66.67
1300,0.0028,100.00,1.9600,67.00
1350,0.0056,100.00,1.9480,66.91
1400,0.0390,99.41,2.0043,63.75
1450,0.0044,100.00,1.7213,67.67
1500,0.0033,100.00,1.7164,67.67
1550,0.0036,100.00,1.6928,67.76
1600,0.0029,100.00,1.6649,68.12
1650,0.1204,97.46,2.0054,60.26
1700,0.0075,100.00,1.5136,69.06
1750,0.0042,100.00,1.4836,68.88
1800,0.0042,100.00,1.4618,69.25
1850,0.0036,100.00,1.4201,69.76
1900,0.0026,100.00,1.3645,70.34
1950,0.0021,100.00,1.3153,70.92
2000,0.0793,98.44,1.5356,66.91
2050,0.0075,100.00,1.0910,73.44
2100,0.0028,100.00,1.0465,73.41
2150,0.0029,100.00,1.0548,73.68
2200,0.0028,100.00,1.0109,74.04
2250,0.0021,100.00,0.9487,74.68
2300,0.0017,100.00,0.8672,76.11
2350,0.0376,99.22,1.0044,74.53
2400,0.0043,100.00,0.7080,79.69
2450,0.0029,100.00,0.6974,79.63
2500,0.0031,100.00,0.6713,80.36
2550,0.0027,100.00,0.6077,82.03
2600,0.0019,100.00,0.4900,85.37
2650,0.0013,100.00,0.4065,87.46
2700,0.0008,100.00,0.2983,90.74
2750,0.0006,100.00,0.1927,94.51
2800,0.0068,100.00,0.3152,90.56
2850,0.0030,100.00,0.2598,92.93
2900,0.0031,100.00,0.2541,92.96
2950,0.0026,100.00,0.2061,94.90
3000,0.0021,100.00,0.1489,96.63
3050,0.0016,100.00,0.0926,98.24
3100,0.0011,100.00,0.0523,99.30
3150,0.0007,100.00,0.0287,99.73
