step,train_loss,train_acc,val_loss,val_acc
0,4.8390,1.17,4.6924,1.03
50,3.6724,19.34,5.0527,1.16
100,2.3425,60.94,5.3849,2.11
150,1.4440,85.94,5.6973,3.28
200,0.7165,97.85,6.0181,4.19
250,0.3696,99.22,6.3926,4.60
300,0.1766,100.00,6.7575,4.60
350,0.1102,100.00,7.0485,5.13
400,0.0734,100.00,7.3196,5.55
450,0.0511,100.00,7.4292,5.48
500,0.0414,100.00,7.5712,5.54
550,0.0477,100.00,7.6896,5.38
600,0.0309,100.00,7.9271,5.31
650,0.0354,100.00,8.0488,5.13
700,0.0246,100.00,8.1029,5.40
750,0.0206,100.00,8.1422,5.84
800,0.0208,100.00,8.3391,4.93
850,0.0220,99.80,8.2953,5.78
900,0.0268,100.00,8.4153,5.01
950,0.0322,99.80,8.4160,5.26
1000,0.0230,100.00,8.3957,5.28
1050,0.0257,99.80,8.4895,5.18
1100,0.0450,99.61,8.4959,5.03
1150,0.0188,100.00,8.4710,4.88
1200,0.0244,100.00,8.4933,4.95
1250,0.0230,99.80,8.4565,5.18
1300,0.0217,100.00,8.4964,4.61
1350,0.0351,100.00,8.4018,5.25
1400,0.0223,100.00,8.5376,4.43
1450,0.0723,99.02,8.5399,4.39
1500,0.0364,99.80,8.5341,4.35
1550,0.0271,100.00,8.4795,4.59
1600,0.0345,100.00,8.5495,4.11
1650,0.0222,99.80,8.4641,4.40
1700,0.0343,99.80,8.5953,3.84
1750,0.0425,99.61,8.5602,4.41
1800,0.0385,99.80,8.5868,4.10
1850,0.0470,99.61,8.4517,4.31
1900,0.0360,100.00,8.5636,4.05
1950,0.0257,100.00,8.4884,3.84
2000,0.0420,99.61,8.5705,4.09
2050,0.0393,100.00,8.5183,3.64
2100,0.0363,100.00,8.5227,4.03
2150,0.0407,99.80,8.6590,3.36
2200,0.0405,100.00,8.6413,3.41
2250,0.0583,99.41,8.5768,3.54
2300,0.0397,100.00,8.6084,3.09
2350,0.0877,98.44,8.5509,3.51
2400,0.0217,100.00,8.5469,3.36
2450,0.0849,99.22,8.4621,3.79
2500,0.0661,99.41,8.5515,3.43
2550,0.0675,99.61,8.5000,3.43
2600,0.0460,100.00,8.5768,3.11
2650,0.0696,99.61,8.5175,3.43
2700,0.0392,99.80,8.4544,3.08
2750,0.0728,100.00,8.3739,3.79
2800,0.0793,99.02,8.4678,3.41
2850,0.0575,99.80,8.4989,3.20
2900,0.1259,98.44,8.4865,3.11
2950,0.0393,100.00,8.4332,3.99
3000,0.0696,100.00,8.5019,3.50
3050,0.0594,100.00,8.4815,3.20
3100,0.0565,99.80,8.5515,2.88
3150,0.0566,99.61,8.5035,3.31
3200,0.0268,100.00,8.5910,3.30
3250,0.0468,100.00,8.5068,2.98
3300,0.0631,100.00,8.5705,3.03
3350,0.0239,100.00,8.5270,3.36
