step,train_loss,train_acc,val_loss,val_acc
0,4.8280,1.37,4.8372,0.96
50,4.6178,1.17,4.6170,1.06
100,4.5891,0.98,4.6073,0.81
150,4.5940,0.98,4.5938,0.89
200,4.5873,0.98,4.5992,0.92
250,4.5793,1.37,4.5913,0.78
300,4.5785,1.37,4.5903,1.06
350,4.5749,1.95,4.5910,0.74
400,4.5744,1.56,4.5887,0.81
450,4.5784,0.59,4.5904,0.81
500,4.5699,0.59,4.5902,1.03
550,4.5811,0.78,4.5885,1.10
600,4.5797,0.59,4.5875,0.81
650,4.5795,0.20,4.5870,0.96
700,4.5663,1.56,4.5893,0.92
750,4.5779,0.39,4.5894,0.81
800,4.5601,2.73,4.6077,0.71
850,4.5817,2.15,4.6153,0.50
900,4.5692,0.78,4.6119,0.57
950,4.5713,1.37,4.6029,0.57
1000,4.5806,1.37,4.6153,0.60
1050,4.5476,2.73,4.6103,0.67
1100,4.5712,1.76,4.5955,0.67
1150,4.5601,1.95,4.5980,0.81
1200,4.5619,0.98,4.6057,0.71
1250,4.5681,1.56,4.6072,0.85
1300,4.5665,1.37,4.6025,0.89
1350,4.5482,0.98,4.6188,0.81
1400,4.5261,1.37,4.5994,1.13
1450,4.5421,1.17,4.5841,0.92
1500,4.4811,1.56,4.5112,1.20
1550,4.4041,1.95,4.4370,0.99
1600,4.2356,2.93,4.2627,2.05
1650,4.2382,2.34,4.2903,1.63
1700,4.1471,2.73,4.1884,2.41
1750,4.0531,3.12,4.1968,2.05
1800,3.8284,5.27,4.0018,2.90
1850,3.7784,4.30,3.8449,4.11
1900,3.6482,4.69,3.7166,2.98
1950,3.5073,5.27,3.7354,2.62
2000,3.4565,5.66,3.4677,5.03
2050,3.2433,7.42,3.4019,5.17
2100,3.1972,6.84,3.3388,5.88
2150,3.1535,9.18,3.2713,5.84
2200,3.0993,8.01,3.2156,7.47
2250,3.0702,9.38,3.2010,6.66
2300,3.0139,12.11,3.1852,6.55
2350,3.0785,9.38,3.1572,7.51
2400,2.8966,12.30,3.0545,7.86
2450,2.8686,13.87,3.0038,9.42
2500,2.7338,16.02,3.1082,7.58
2550,2.6306,19.14,2.9922,9.35
2600,2.7086,14.84,2.8994,9.10
2650,2.5679,17.38,2.8796,9.99
2700,2.7994,13.09,2.9612,10.06
2750,2.6455,13.87,3.0066,7.93
2800,2.7051,18.55,2.9598,10.80
2850,2.4774,21.29,2.8756,9.28
2900,2.5728,17.38,2.8022,11.37
2950,2.5995,16.02,2.8251,10.73
3000,2.5154,17.38,2.7578,11.55
3050,2.5127,19.53,2.7565,10.95
3100,2.4394,18.75,2.7718,10.49
3150,2.4629,19.53,2.7288,11.37
3200,2.3187,22.66,2.6655,11.65
3250,2.5236,18.95,2.7364,9.49
3300,2.3527,24.80,2.6938,11.09
3350,2.3694,21.09,2.6105,12.79
3400,2.3320,22.66,2.6611,13.21
3450,2.4047,20.51,2.6689,13.57
3500,2.4235,19.53,2.6735,9.95
3550,2.4151,21.09,2.7670,10.70
3600,2.2896,21.09,2.5958,12.47
3650,2.3271,22.27,2.5864,14.31
3700,2.2915,23.44,2.6331,12.58
3750,2.2352,23.83,2.5759,14.52
3800,2.2673,19.73,2.5609,13.11
3850,2.2979,22.07,2.5433,13.43
3900,2.2992,21.88,2.5893,13.53
3950,2.1689,27.15,2.6388,13.00
4000,2.5846,15.62,2.9390,9.60
4050,2.1724,28.91,2.5584,13.74
4100,2.2835,23.44,2.6258,11.44
4150,2.3320,19.92,2.6136,14.67
4200,2.1933,24.22,2.6278,13.57
4250,2.1340,26.95,2.5627,13.28
4300,2.2942,23.44,2.5796,14.49
4350,2.2384,23.63,2.5817,13.32
4400,2.1754,25.00,2.5892,13.25
4450,2.1701,27.15,2.5449,14.38
4500,2.5198,18.36,2.5955,13.78
4550,4.0711,3.32,4.1076,2.83
4600,3.7221,4.88,3.7784,3.51
4650,3.4533,6.64,3.5474,3.79
4700,3.2877,7.42,3.3469,5.60
4750,2.9263,17.77,3.0750,8.96
4800,2.8082,14.45,2.9894,9.17
4850,2.6327,20.12,2.8679,10.87
4900,2.5596,19.53,2.8143,10.70
4950,2.4266,20.31,2.6451,11.44
5000,2.3057,24.80,2.6261,12.33
5050,2.3097,20.90,2.7944,8.43
5100,2.2265,24.80,2.5615,13.35
