step,train_loss,train_acc,val_loss,val_acc
0,4.7787,1.37,4.6976,1.13
50,4.4681,3.71,4.7354,0.53
100,3.8148,20.90,5.0820,1.32
150,2.7924,44.53,5.0809,4.42
200,1.6124,71.48,4.9354,11.05
250,0.5817,92.77,4.6495,21.83
300,0.1865,99.22,4.4805,30.84
350,0.0605,100.00,4.4176,36.41
400,0.0309,100.00,4.4153,38.09
450,0.0223,100.00,4.4413,39.00
500,0.0159,100.00,4.4540,39.57
550,0.0125,100.00,4.4741,39.85
600,0.0103,100.00,4.4947,40.21
650,0.0084,100.00,4.5079,40.64
700,0.0073,100.00,4.5276,40.64
750,0.0063,100.00,4.5458,40.77
800,0.0054,100.00,4.5604,40.89
850,0.0047,100.00,4.5716,40.98
900,0.0042,100.00,4.5885,41.23
950,0.0038,100.00,4.5989,41.25
1000,0.0034,100.00,4.6142,41.36
1050,0.0030,100.00,4.6256,41.57
1100,0.0028,100.00,4.6386,41.66
1150,0.0026,100.00,4.6499,41.66
1200,0.0023,100.00,4.6618,41.64
1250,0.0021,100.00,4.6707,41.79
1300,0.0020,100.00,4.6801,41.91
1350,0.0018,100.00,4.6954,41.93
1400,0.0017,100.00,4.7078,41.85
1450,0.0016,100.00,4.7167,41.96
1500,0.0014,100.00,4.7248,42.10
1550,0.0014,100.00,4.7387,42.08
1600,0.0013,100.00,4.7501,42.25
1650,0.0012,100.00,4.7562,42.17
1700,0.0011,100.00,4.7668,42.17
1750,0.0010,100.00,4.7768,42.32
1800,0.0010,100.00,4.7884,42.38
1850,0.0010,100.00,4.7939,42.36
1900,0.0009,100.00,4.8008,42.38
1950,0.0008,100.00,4.8104,42.53
2000,0.0008,100.00,4.8169,42.59
2050,0.0007,100.00,4.8283,42.70
2100,0.0007,100.00,4.8366,42.59
2150,0.0007,100.00,4.8446,42.76
2200,0.0006,100.00,4.8509,42.76
2250,0.0006,100.00,4.8586,42.70
2300,0.0006,100.00,4.8670,42.78
2350,0.0006,100.00,4.8747,42.93
2400,0.0005,100.00,4.8847,42.76
2450,0.0005,100.00,4.8924,42.85
2500,0.0005,100.00,4.8979,42.98
2550,0.0005,100.00,4.9068,43.00
2600,0.0004,100.00,4.9143,43.00
2650,0.0004,100.00,4.9227,43.00
2700,0.0004,100.00,4.9279,42.98
2750,0.0004,100.00,4.9357,43.06
2800,0.0004,100.00,4.9420,42.98
2850,0.0004,100.00,4.9504,43.04
2900,0.0003,100.00,4.9574,43.12
2950,0.0003,100.00,4.9635,43.25
3000,0.0003,100.00,4.9716,43.19
3050,0.0003,100.00,4.9762,43.27
3100,0.0003,100.00,4.9830,43.27
3150,0.0003,100.00,4.9902,43.29
3200,0.0003,100.00,4.9998,43.29
3250,0.0003,100.00,5.0047,43.25
3300,0.0002,100.00,5.0090,43.32
3350,0.0002,100.00,5.0165,43.36
3400,0.0002,100.00,5.0237,43.32
3450,0.0002,100.00,5.0302,43.36
3500,0.0002,100.00,5.0369,43.29
3550,0.0002,100.00,5.0444,43.32
3600,0.0002,100.00,5.0489,43.44
3650,0.0002,100.00,5.0551,43.38
3700,0.0002,100.00,5.0656,43.38
3750,0.0002,100.00,5.0707,43.38
3800,0.0002,100.00,5.0767,43.36
3850,0.0002,100.00,5.0838,43.40
3900,0.0002,100.00,5.0881,43.46
3950,0.0002,100.00,5.0955,43.44
4000,0.0001,100.00,5.1023,43.40
4050,0.0001,100.00,5.1075,43.40
4100,0.0001,100.00,5.1142,43.44
4150,0.0001,100.00,5.1186,43.46
4200,0.0001,100.00,5.1238,43.53
4250,0.0001,100.00,5.1307,43.53
4300,0.0001,100.00,5.1360,43.49
4350,0.0001,100.00,5.1426,43.53
4400,0.0001,100.00,5.1482,43.59
4450,0.0001,100.00,5.1553,43.57
4500,0.0001,100.00,5.1601,43.66
4550,0.0001,100.00,5.1646,43.61
4600,0.0001,100.00,5.1733,43.55
4650,0.0001,100.00,5.1770,43.68
4700,0.0001,100.00,5.1838,43.63
4750,0.0001,100.00,5.1893,43.63
4800,0.0001,100.00,5.1939,43.59
4850,0.0001,100.00,5.2014,43.63
4900,0.0001,100.00,5.2071,43.66
4950,0.0001,100.00,5.2123,43.61
5000,0.0001,100.00,5.2189,43.53
5050,0.0001,100.00,5.2246,43.63
5100,0.0001,100.00,5.2294,43.66
5150,0.0001,100.00,5.2353,43.70
5200,0.0001,100.00,5.2407,43.72
5250,0.0001,100.00,5.2473,43.68
5300,0.0001,100.00,5.2536,43.70
5350,0.0001,100.00,5.2583,43.68
5400,0.0001,100.00,5.2628,43.68
5450,0.0001,100.00,5.2693,43.68
5500,0.0001,100.00,5.2748,43.66
5550,0.0001,100.00,5.2819,43.78
5600,0.0001,100.00,5.2869,43.78
5650,0.0001,100.00,5.2897,43.74
5700,0.0001,100.00,5.2980,43.72
5750,0.0001,100.00,5.3027,43.78
5800,0.0000,100.00,5.3084,43.78
5850,0.0000,100.00,5.3142,43.72
5900,0.0000,100.00,5.3203,43.78
5950,0.0000,100.00,5.3260,43.83
6000,0.0000,100.00,5.3303,43.80
6050,0.0000,100.00,5.3363,43.80
6100,0.0000,100.00,5.3420,43.74
6150,0.0000,100.00,5.3483,43.74
6200,0.0000,100.00,5.3548,43.74
6250,0.0000,100.00,5.3579,43.78
6300,0.0000,100.00,5.3638,43.78
6350,0.0000,100.00,5.3670,43.74
6400,0.0000,100.00,5.3733,43.80
6450,0.0000,100.00,5.3800,43.80
6500,0.0000,100.00,5.3853,43.83
6550,0.0000,100.00,5.3931,43.85
6600,0.0000,100.00,5.3976,43.78
6650,0.0000,100.00,5.4032,43.83
6700,0.0000,100.00,5.4088,43.80
6750,0.0000,100.00,5.4137,43.89
6800,0.0000,100.00,5.4181,43.83
6850,0.0000,100.00,5.4243,43.83
6900,0.0000,100.00,5.4288,43.76
6950,0.0000,100.00,5.4329,43.87
7000,0.0000,100.00,5.4392,43.87
7050,0.0000,100.00,5.4454,43.87
7100,0.0000,100.00,5.4506,43.87
7150,0.0000,100.00,5.4564,43.89
7200,0.0000,100.00,5.4632,43.83
7250,0.0000,100.00,5.4684,43.91
7300,0.0000,100.00,5.4720,43.93
7350,0.0000,100.00,5.4774,43.97
7400,0.0000,100.00,5.4826,43.95
7450,0.0000,100.00,5.4873,43.91
7500,0.0000,100.00,5.4930,43.97
7550,0.0000,100.00,5.4978,43.93
7600,0.0000,100.00,5.5029,43.97
7650,0.0000,100.00,5.5069,43.89
7700,0.0000,100.00,5.5126,43.93
7750,0.0000,100.00,5.5200,43.97
7800,0.0000,100.00,5.5248,43.93
7850,0.0000,100.00,5.5308,43.95
7900,0.0000,100.00,5.5357,43.97
7950,0.0000,100.00,5.5414,44.00
8000,0.0000,100.00,5.5459,44.00
8050,0.0000,100.00,5.5533,43.97
8100,0.0000,100.00,5.5575,44.04
8150,0.0000,100.00,5.5618,43.89
8200,0.0000,100.00,5.5676,44.12
8250,0.0000,100.00,5.5736,44.08
8300,0.0000,100.00,5.5804,44.00
8350,0.0000,100.00,5.5864,44.06
8400,0.0000,100.00,5.5903,44.10
8450,0.0000,100.00,5.5954,44.14
8500,0.0000,100.00,5.6023,44.14
8550,0.0000,100.00,5.6066,44.17
8600,0.0000,100.00,5.6112,44.10
8650,0.0000,100.00,5.6171,44.17
8700,0.0000,100.00,5.6231,44.17
8750,0.0000,100.00,5.6295,44.08
8800,0.0000,100.00,5.6326,44.12
8850,0.0000,100.00,5.6383,44.19
8900,0.0000,100.00,5.6439,44.17
8950,0.0000,100.00,5.6510,44.21
9000,0.0000,100.00,5.6544,44.21
9050,0.0000,100.00,5.6610,44.21
9100,0.0000,100.00,5.6645,44.23
9150,0.0000,100.00,5.6716,44.06
9200,0.0000,100.00,5.6764,44.25
9250,0.0000,100.00,5.6810,44.31
9300,0.0000,100.00,5.6861,44.27
9350,0.0000,100.00,5.6907,44.27
9400,0.0000,100.00,5.6968,44.29
9450,0.0000,100.00,5.7007,44.19
9500,0.0000,100.00,5.7071,44.25
9550,0.0000,100.00,5.7134,44.34
9600,0.0000,100.00,5.7191,44.29
9650,0.0000,100.00,5.7244,44.27
9700,0.0000,100.00,5.7278,44.31
