step,train_loss,train_acc,val_loss,val_acc
0,4.7463,1.06,4.7262,1.01
50,4.5472,1.91,4.6196,0.78
100,4.5310,2.07,4.6224,0.77
150,4.5065,2.60,4.6311,0.64
200,4.4488,3.35,4.6605,0.60
250,4.2066,7.07,4.9423,0.68
300,4.0572,10.15,5.0029,0.56
350,3.9282,13.13,5.0499,0.64
400,3.8119,14.83,5.1149,0.50
450,3.6989,16.91,5.1588,0.60
500,3.5898,18.77,5.2135,0.62
550,3.4795,22.12,5.2655,0.69
600,3.3685,24.67,5.3167,0.77
650,3.2592,26.85,5.3644,0.84
700,3.1449,29.56,5.3996,1.02
750,3.0312,32.16,5.4484,1.09
800,2.9177,35.09,5.4840,1.37
850,2.8041,39.02,5.5279,1.50
900,2.6858,40.46,5.5532,1.62
950,2.5722,46.68,5.6003,1.75
1000,2.4601,50.56,5.6355,2.05
1050,2.3511,53.69,5.6695,2.28
1100,2.2401,56.19,5.7074,2.46
1150,2.1333,60.50,5.7420,2.67
1200,2.0316,64.59,5.7776,2.74
1250,1.9314,66.67,5.8021,3.49
1300,1.8331,70.02,5.8387,3.27
1350,1.7393,71.61,5.8548,4.22
1400,1.6480,75.01,5.8996,4.18
1450,1.5593,77.51,5.9114,4.44
1500,1.4742,80.70,5.9564,4.56
1550,1.3908,83.84,5.9921,4.88
1600,1.3117,85.59,6.0293,5.09
1650,1.2353,86.76,6.0463,5.57
1700,1.1633,89.79,6.0915,5.49
1750,1.0926,91.12,6.1233,5.90
1800,1.0255,92.19,6.1511,6.06
1850,0.9631,93.14,6.1677,6.38
1900,0.9006,94.52,6.2220,6.36
1950,0.8430,96.28,6.2641,6.63
2000,0.7867,96.70,6.2874,7.05
2050,0.7336,97.61,6.3031,7.32
2100,0.6837,98.35,6.3446,7.39
2150,0.6356,98.99,6.3708,7.68
2200,0.5926,98.99,6.4286,7.66
2250,0.5503,99.47,6.4767,7.59
2300,0.5113,99.68,6.5036,7.89
2350,0.4738,99.73,6.5264,8.16
2400,0.4395,99.84,6.5535,8.29
2450,0.4066,99.95,6.6114,8.62
2500,0.3754,100.00,6.6484,8.50
2550,0.3483,99.89,6.7041,8.54
2600,0.3216,100.00,6.7281,8.90
2650,0.2976,100.00,6.7619,8.98
2700,0.2743,100.00,6.7908,9.09
2750,0.2534,100.00,6.8708,8.91
2800,0.2335,100.00,6.8989,9.29
2850,0.2165,100.00,6.9047,9.64
2900,0.1986,100.00,6.9640,9.40
2950,0.1824,100.00,7.0078,9.23
3000,0.1685,100.00,7.0675,9.50
3050,0.1553,100.00,7.0618,9.83
3100,0.1424,100.00,7.1476,9.78
3150,0.1310,100.00,7.1852,9.70
3200,0.1204,100.00,7.2268,9.60
3250,0.1109,100.00,7.2200,10.44
3300,0.1015,100.00,7.3203,9.84
3350,0.0932,100.00,7.3326,9.98
3400,0.0857,100.00,7.3594,10.20
3450,0.0792,100.00,7.4258,10.31
3500,0.0724,100.00,7.4306,10.64
3550,0.0666,100.00,7.5312,10.41
3600,0.0612,100.00,7.5811,10.20
3650,0.0466,100.00,7.5835,10.75
3700,0.0414,100.00,7.6181,10.83
3750,0.0385,100.00,7.6519,10.85
3800,0.0359,100.00,7.6844,10.84
3850,0.0337,100.00,7.7156,10.87
3900,0.0317,100.00,7.7456,10.87
3950,0.0299,100.00,7.7742,10.89
4000,0.0282,100.00,7.8018,10.93
4050,0.0268,100.00,7.8280,10.95
4100,0.0255,100.00,7.8535,10.97
4150,0.0242,100.00,7.8778,11.05
4200,0.0231,100.00,7.9014,11.04
4250,0.0221,100.00,7.9240,11.04
4300,0.0212,100.00,7.9460,11.05
4350,0.0203,100.00,7.9672,11.12
4400,0.0195,100.00,7.9877,11.15
4450,0.0187,100.00,8.0076,11.15
4500,0.0180,100.00,8.0269,11.15
4550,0.0174,100.00,8.0457,11.18
4600,0.0168,100.00,8.0640,11.22
4650,0.0162,100.00,8.0816,11.22
4700,0.0156,100.00,8.0989,11.28
4750,0.0151,100.00,8.1156,11.30
4800,0.0147,100.00,8.1320,11.29
4850,0.0142,100.00,8.1478,11.33
4900,0.0138,100.00,8.1634,11.33
4950,0.0134,100.00,8.1786,11.36
5000,0.0130,100.00,8.1934,11.34
5050,0.0126,100.00,8.2077,11.36
5100,0.0123,100.00,8.2218,11.38
5150,0.0120,100.00,8.2357,11.37
5200,0.0117,100.00,8.2494,11.37
5250,0.0114,100.00,8.2625,11.37
5300,0.0111,100.00,8.2755,11.38
5350,0.0108,100.00,8.2882,11.41
5400,0.0105,100.00,8.3006,11.42
5450,0.0103,100.00,8.3128,11.42
5500,0.0101,100.00,8.3247,11.42
5550,0.0098,100.00,8.3365,11.44
5600,0.0096,100.00,8.3479,11.45
5650,0.0094,100.00,8.3594,11.45
5700,0.0092,100.00,8.3705,11.44
5750,0.0090,100.00,8.3813,11.48
5800,0.0088,100.00,8.3920,11.49
5850,0.0086,100.00,8.4026,11.48
5900,0.0085,100.00,8.4130,11.50
5950,0.0083,100.00,8.4232,11.50
6000,0.0081,100.00,8.4333,11.50
6050,0.0080,100.00,8.4432,11.50
6100,0.0078,100.00,8.4528,11.48
6150,0.0077,100.00,8.4626,11.49
6200,0.0076,100.00,8.4718,11.50
6250,0.0074,100.00,8.4813,11.52
6300,0.0073,100.00,8.4905,11.54
6350,0.0072,100.00,8.4995,11.53
6400,0.0070,100.00,8.5084,11.53
6450,0.0069,100.00,8.5172,11.50
6500,0.0068,100.00,8.5259,11.53
6550,0.0067,100.00,8.5344,11.53
6600,0.0066,100.00,8.5428,11.50
6650,0.0065,100.00,8.5511,11.50
6700,0.0064,100.00,8.5593,11.49
6750,0.0063,100.00,8.5675,11.50
6800,0.0062,100.00,8.5754,11.50
6850,0.0061,100.00,8.5833,11.50
6900,0.0060,100.00,8.5911,11.50
6950,0.0059,100.00,8.5988,11.50
7000,0.0058,100.00,8.6065,11.52
7050,0.0057,100.00,8.6139,11.52
7100,0.0057,100.00,8.6214,11.53
7150,0.0056,100.00,8.6287,11.53
7200,0.0055,100.00,8.6359,11.53
7250,0.0054,100.00,8.6431,11.53
7300,0.0054,100.00,8.6500,11.50
7350,0.0053,100.00,8.6570,11.50
7400,0.0052,100.00,8.6639,11.52
7450,0.0051,100.00,8.6708,11.52
7500,0.0051,100.00,8.6775,11.52
7550,0.0050,100.00,8.6842,11.52
7600,0.0050,100.00,8.6908,11.50
7650,0.0049,100.00,8.6974,11.52
7700,0.0048,100.00,8.7039,11.48
7750,0.0048,100.00,8.7103,11.49
7800,0.0047,100.00,8.7167,11.52
7850,0.0047,100.00,8.7228,11.49
7900,0.0046,100.00,8.7291,11.50
7950,0.0045,100.00,8.7353,11.52
8000,0.0045,100.00,8.7413,11.50
8050,0.0044,100.00,8.7474,11.50
8100,0.0044,100.00,8.7534,11.52
8150,0.0043,100.00,8.7593,11.50
8200,0.0043,100.00,8.7650,11.49
8250,0.0042,100.00,8.7709,11.52
8300,0.0042,100.00,8.7766,11.49
8350,0.0042,100.00,8.7823,11.50
8400,0.0041,100.00,8.7879,11.52
8450,0.0041,100.00,8.7936,11.49
8500,0.0040,100.00,8.7991,11.48
8550,0.0040,100.00,8.8045,11.48
8600,0.0039,100.00,8.8100,11.46
8650,0.0039,100.00,8.8154,11.48
8700,0.0039,100.00,8.8208,11.48
8750,0.0038,100.00,8.8261,11.49
