step,train_loss,train_acc,val_loss,val_acc
0,4.7308,1.37,4.8842,1.03
50,4.2841,4.69,4.8741,0.67
100,2.9344,37.30,5.4064,1.97
150,1.3343,77.34,5.8024,3.70
200,0.4229,96.29,6.1082,6.22
250,0.0993,99.80,6.3316,8.64
300,0.0396,100.00,6.4788,8.97
350,0.0241,100.00,6.6036,9.46
400,0.0151,100.00,6.7063,9.75
450,0.0113,100.00,6.7880,10.02
500,0.0596,99.61,7.1034,7.85
550,0.0175,100.00,7.1740,8.65
600,0.0111,100.00,7.2212,9.23
650,0.0079,100.00,7.2649,9.40
700,0.0061,100.00,7.3118,9.67
750,0.0050,100.00,7.3442,9.78
800,0.0043,100.00,7.3801,9.73
850,0.0037,100.00,7.4030,9.93
900,0.0032,100.00,7.4185,9.91
950,0.0031,100.00,7.4340,9.93
1000,1.5757,65.04,6.6773,3.17
1050,0.0244,100.00,7.6069,7.32
1100,0.0119,100.00,7.6611,7.97
1150,0.0082,100.00,7.7032,8.33
1200,0.0062,100.00,7.7235,8.61
1250,0.0048,100.00,7.7437,8.82
1300,0.0039,100.00,7.7539,8.94
1350,0.0036,100.00,7.7586,9.28
1400,0.0031,100.00,7.7656,9.47
1450,0.0029,100.00,7.7690,9.53
1500,0.0026,100.00,7.7576,9.56
1550,0.0424,100.00,7.7479,6.60
1600,0.0110,100.00,7.9918,7.24
1650,0.0071,100.00,8.0187,7.64
1700,0.0054,100.00,8.0375,7.89
1750,0.0043,100.00,8.0426,8.17
1800,0.0035,100.00,8.0431,8.20
1850,0.0031,100.00,8.0452,8.44
1900,0.0027,100.00,8.0387,8.76
1950,0.0026,100.00,8.0212,9.08
2000,0.0023,100.00,7.9981,9.25
2050,1.2012,68.16,7.3303,3.20
2100,0.0149,100.00,8.0910,6.97
2150,0.0076,100.00,8.1488,7.50
2200,0.0055,100.00,8.1690,7.70
2250,0.0042,100.00,8.1859,7.85
2300,0.0035,100.00,8.1916,8.05
2350,0.0031,100.00,8.1909,8.17
2400,0.0026,100.00,8.1788,8.53
2450,0.0025,100.00,8.1635,8.55
2500,0.0022,100.00,8.1294,8.77
2550,0.0022,100.00,8.1001,9.08
2600,0.3959,92.19,7.8574,4.07
2650,0.0114,100.00,8.2863,6.12
2700,0.0066,100.00,8.3135,6.39
2750,0.0049,100.00,8.3249,6.82
2800,0.0038,100.00,8.3302,7.21
2850,0.0032,100.00,8.3276,7.45
2900,0.0027,100.00,8.3185,7.74
2950,0.0024,100.00,8.3027,7.89
3000,0.0023,100.00,8.2777,8.06
3050,0.0022,100.00,8.2349,8.18
3100,6.2680,4.30,5.7970,1.06
3150,0.0244,100.00,8.2216,5.42
3200,0.0092,100.00,8.4477,6.19
3250,0.0058,100.00,8.5120,6.57
3300,0.0043,100.00,8.5351,6.70
3350,0.0035,100.00,8.5498,6.97
3400,0.0029,100.00,8.5513,7.03
3450,0.0025,100.00,8.5448,7.21
3500,0.0022,100.00,8.5324,7.32
3550,0.0021,100.00,8.4990,7.61
3600,0.0020,100.00,8.4454,7.85
3650,2.7420,31.84,6.6539,1.69
3700,0.0144,100.00,8.3650,6.29
3750,0.0079,100.00,8.4354,6.70
3800,0.0059,100.00,8.4560,6.88
3850,0.0043,100.00,8.4745,7.01
3900,0.0034,100.00,8.4783,7.23
3950,0.0028,100.00,8.4768,7.33
4000,0.0024,100.00,8.4688,7.51
4050,0.0022,100.00,8.4435,7.76
4100,0.0020,100.00,8.4192,7.70
4150,0.0021,100.00,8.3831,7.83
4200,0.7552,80.47,7.9810,3.22
4250,0.0109,100.00,8.4791,6.06
4300,0.0065,100.00,8.5265,6.47
4350,0.0047,100.00,8.5464,6.71
4400,0.0037,100.00,8.5591,6.91
4450,0.0029,100.00,8.5611,7.03
4500,0.0025,100.00,8.5555,7.27
4550,0.0023,100.00,8.5386,7.32
4600,0.0020,100.00,8.5209,7.71
4650,0.0020,100.00,8.4790,7.96
4700,0.0018,100.00,8.4271,8.20
4750,1.5869,57.62,7.1089,2.78
4800,0.0123,100.00,8.4832,5.80
4850,0.0070,100.00,8.5522,6.21
4900,0.0050,100.00,8.5763,6.47
4950,0.0037,100.00,8.5854,6.65
5000,0.0032,100.00,8.5885,6.85
5050,0.0026,100.00,8.5827,6.92
5100,0.0023,100.00,8.5645,7.17
5150,0.0021,100.00,8.5440,7.29
5200,0.0020,100.00,8.5002,7.56
5250,0.0020,100.00,8.4493,7.65
5300,2.8803,32.03,7.1191,2.00
5350,0.0123,100.00,8.5198,5.53
5400,0.0065,100.00,8.5906,6.06
5450,0.0047,100.00,8.6133,6.35
5500,0.0037,100.00,8.6251,6.57
5550,0.0029,100.00,8.6265,6.91
5600,0.0026,100.00,8.6145,7.07
5650,0.0022,100.00,8.5948,7.44
5700,0.0020,100.00,8.5734,7.48
5750,0.0020,100.00,8.5302,7.73
5800,0.0019,100.00,8.4860,7.71
5850,0.3101,93.95,7.8537,3.98
5900,0.0099,100.00,8.5242,5.65
5950,0.0063,100.00,8.6055,5.84
6000,0.0045,100.00,8.6373,6.18
6050,0.0033,100.00,8.6481,6.42
6100,0.0028,100.00,8.6527,6.59
6150,0.0023,100.00,8.6411,6.80
6200,0.0022,100.00,8.6274,7.14
6250,0.0020,100.00,8.6039,7.10
6300,0.0019,100.00,8.5706,7.26
6350,0.0020,100.00,8.5137,7.20
6400,0.1077,99.22,8.1148,4.74
6450,0.0092,100.00,8.5497,5.89
6500,0.0054,100.00,8.5786,6.33
6550,0.0041,100.00,8.5911,6.50
6600,0.0033,100.00,8.5916,6.60
6650,0.0026,100.00,8.5906,6.82
6700,0.0024,100.00,8.5807,7.04
6750,0.0021,100.00,8.5519,7.39
6800,0.0020,100.00,8.5299,7.38
6850,0.0019,100.00,8.4854,7.55
6900,0.0020,100.00,8.4349,7.83
6950,3.3922,17.19,6.5483,1.73
7000,0.0182,100.00,8.3437,5.86
7050,0.0082,100.00,8.4303,6.10
7100,0.0055,100.00,8.4650,6.41
7150,0.0041,100.00,8.4917,6.45
7200,0.0033,100.00,8.4981,6.71
7250,0.0028,100.00,8.5003,6.94
7300,0.0024,100.00,8.4896,7.21
7350,0.0023,100.00,8.4690,7.35
7400,0.0022,100.00,8.4452,7.45
7450,0.0020,100.00,8.4047,7.53
7500,1.2405,65.43,7.5508,3.13
7550,0.0109,100.00,8.4318,6.38
7600,0.0059,100.00,8.4801,6.63
7650,0.0042,100.00,8.4985,6.83
7700,0.0032,100.00,8.5148,6.86
7750,0.0026,100.00,8.5192,7.21
7800,0.0023,100.00,8.5113,7.29
7850,0.0021,100.00,8.5010,7.58
7900,0.0019,100.00,8.4671,7.64
7950,0.0018,100.00,8.4297,8.05
8000,0.0019,100.00,8.3766,8.15
8050,0.0299,100.00,8.2313,5.94
8100,0.0071,100.00,8.4300,6.44
8150,0.0045,100.00,8.4693,6.85
8200,0.0037,100.00,8.4860,7.15
8250,0.0029,100.00,8.4840,7.48
8300,0.0024,100.00,8.4886,7.56
8350,0.0021,100.00,8.4698,7.76
8400,0.0019,100.00,8.4447,7.97
8450,0.0019,100.00,8.4109,8.11
8500,0.0019,100.00,8.3616,8.11
8550,3.5687,14.65,6.0366,2.02
8600,0.0117,100.00,8.3078,6.45
8650,0.0059,100.00,8.4693,6.91
8700,0.0041,100.00,8.5096,7.21
8750,0.0031,100.00,8.5247,7.48
8800,0.0026,100.00,8.5242,7.73
8850,0.0022,100.00,8.5203,7.71
8900,0.0020,100.00,8.5058,7.89
