step,train_loss,train_acc,val_loss,val_acc
0,4.8403,1.17,4.8004,0.95
50,4.5498,1.95,4.6255,0.85
100,4.5300,1.56,4.6405,0.78
150,4.3893,2.93,4.6875,0.75
200,3.7934,13.87,5.0541,0.80
250,3.2685,25.20,5.2925,1.36
300,2.6601,44.53,5.5499,2.00
350,1.8903,67.97,5.8424,3.10
400,1.1775,84.77,6.1972,4.13
450,0.6754,95.70,6.5814,5.05
500,0.3271,99.61,6.9307,5.70
550,0.1782,100.00,7.1935,6.36
600,0.1202,100.00,7.3903,6.63
650,0.0857,100.00,7.5537,6.70
700,0.0663,100.00,7.6679,6.98
750,0.0535,100.00,7.7629,7.09
800,0.0441,100.00,7.8604,7.18
850,0.0374,100.00,7.9258,7.26
900,0.0326,100.00,7.9979,7.38
950,0.0288,100.00,8.0478,7.46
1000,0.0262,100.00,8.0999,7.48
1050,0.0234,100.00,8.1539,7.51
1100,0.0213,100.00,8.1996,7.43
1150,0.0196,100.00,8.2357,7.49
1200,0.0179,100.00,8.2740,7.50
1250,0.0165,100.00,8.3107,7.58
1300,0.0158,100.00,8.3397,7.56
1350,0.0150,100.00,8.3720,7.55
1400,0.0136,100.00,8.4010,7.60
1450,0.0129,100.00,8.4218,7.73
1500,0.0125,100.00,8.4520,7.63
1550,0.0118,100.00,8.4760,7.69
1600,0.0112,100.00,8.4969,7.74
1650,0.0106,100.00,8.5212,7.69
1700,0.0102,100.00,8.5428,7.66
1750,0.0099,100.00,8.5610,7.63
1800,0.0094,100.00,8.5788,7.78
1850,0.0090,100.00,8.5946,7.76
1900,0.0089,100.00,8.6138,7.79
1950,0.0085,100.00,8.6271,7.78
2000,0.0082,100.00,8.6436,7.83
2050,0.0078,100.00,8.6549,7.85
2100,0.0076,100.00,8.6702,7.85
2150,0.0075,100.00,8.6847,7.86
2200,0.0072,100.00,8.6983,7.86
2250,0.0070,100.00,8.7089,7.89
2300,0.0066,100.00,8.7223,7.91
2350,0.0068,100.00,8.7315,7.91
2400,0.0065,100.00,8.7474,7.85
2450,0.0063,100.00,8.7568,7.93
2500,0.0063,100.00,8.7647,7.91
2550,0.0061,100.00,8.7761,7.94
2600,0.0060,100.00,8.7840,7.98
2650,0.0058,100.00,8.7951,7.95
2700,0.0056,100.00,8.8022,8.01
2750,0.0055,100.00,8.8168,8.00
2800,0.0055,100.00,8.8207,7.99
2850,0.0052,100.00,8.8298,7.93
2900,0.0052,100.00,8.8337,8.06
2950,0.0052,100.00,8.8477,8.08
3000,0.0050,100.00,8.8541,8.08
3050,0.0049,100.00,8.8611,8.01
3100,0.0049,100.00,8.8655,8.01
3150,0.0046,100.00,8.8742,7.95
3200,0.0047,100.00,8.8771,8.06
3250,0.0047,100.00,8.8847,8.09
3300,0.0047,100.00,8.8920,8.08
3350,0.0045,100.00,8.8988,8.09
3400,0.0043,100.00,8.9045,8.16
3450,0.0043,100.00,8.9100,8.14
3500,0.0043,100.00,8.9151,8.15
3550,0.0043,100.00,8.9191,8.10
3600,0.0042,100.00,8.9256,8.13
3650,0.0042,100.00,8.9295,8.13
3700,0.0040,100.00,8.9329,8.19
3750,0.0040,100.00,8.9400,8.15
3800,0.0040,100.00,8.9444,8.14
3850,0.0040,100.00,8.9479,8.15
3900,0.0040,100.00,8.9507,8.20
3950,0.0039,100.00,8.9560,8.20
4000,0.0037,100.00,8.9580,8.19
4050,0.0038,100.00,8.9652,8.20
4100,0.0036,100.00,8.9681,8.24
4150,0.0037,100.00,8.9722,8.20
4200,0.0036,100.00,8.9727,8.23
4250,0.0036,100.00,8.9772,8.20
4300,0.0034,100.00,8.9811,8.25
4350,0.0034,100.00,8.9841,8.24
4400,0.0034,100.00,8.9873,8.23
4450,0.0035,100.00,8.9892,8.25
4500,0.0034,100.00,8.9953,8.26
4550,0.0034,100.00,8.9944,8.23
4600,0.0033,100.00,8.9991,8.25
4650,0.0033,100.00,9.0014,8.28
4700,0.0033,100.00,9.0056,8.29
4750,0.0032,100.00,9.0095,8.34
4800,0.0032,100.00,9.0115,8.29
4850,0.0032,100.00,9.0136,8.33
4900,0.0031,100.00,9.0142,8.33
4950,0.0032,100.00,9.0172,8.24
5000,0.0032,100.00,9.0186,8.26
5050,0.0030,100.00,9.0219,8.29
5100,0.0030,100.00,9.0232,8.28
5150,0.0030,100.00,9.0240,8.24
5200,0.0031,100.00,9.0260,8.23
5250,0.0030,100.00,9.0313,8.28
5300,0.0030,100.00,9.0310,8.26
5350,0.0029,100.00,9.0317,8.25
5400,0.0030,100.00,9.0348,8.25
5450,0.0029,100.00,9.0364,8.25
5500,0.0029,100.00,9.0387,8.24
5550,0.0029,100.00,9.0394,8.31
5600,0.0029,100.00,9.0423,8.29
5650,0.0028,100.00,9.0429,8.30
5700,0.0029,100.00,9.0426,8.31
5750,0.0028,100.00,9.0448,8.29
5800,0.0028,100.00,9.0424,8.24
5850,0.0028,100.00,9.0476,8.31
5900,0.0028,100.00,9.0482,8.30
5950,0.0028,100.00,9.0490,8.31
6000,0.0027,100.00,9.0484,8.30
6050,0.0027,100.00,9.0495,8.34
6100,0.0027,100.00,9.0505,8.29
6150,0.0027,100.00,9.0528,8.31
6200,0.0026,100.00,9.0538,8.28
6250,0.0026,100.00,9.0568,8.31
6300,0.0026,100.00,9.0546,8.31
6350,0.0026,100.00,9.0575,8.33
6400,0.0026,100.00,9.0562,8.31
6450,0.0026,100.00,9.0549,8.31
6500,0.0026,100.00,9.0572,8.34
6550,0.0026,100.00,9.0570,8.35
6600,0.0025,100.00,9.0571,8.33
6650,0.0026,100.00,9.0593,8.29
6700,0.0025,100.00,9.0606,8.33
6750,0.0025,100.00,9.0598,8.33
6800,0.0025,100.00,9.0611,8.34
6850,0.0024,100.00,9.0599,8.29
6900,0.0025,100.00,9.0604,8.33
6950,0.0024,100.00,9.0614,8.26
7000,0.0025,100.00,9.0601,8.33
7050,0.0024,100.00,9.0608,8.34
7100,0.0024,100.00,9.0648,8.29
7150,0.0024,100.00,9.0641,8.34
7200,0.0025,100.00,9.0621,8.35
7250,0.0025,100.00,9.0632,8.34
7300,0.0024,100.00,9.0624,8.40
7350,0.0024,100.00,9.0663,8.34
7400,0.0024,100.00,9.0623,8.33
7450,0.0024,100.00,9.0630,8.39
7500,0.0024,100.00,9.0621,8.40
7550,0.0024,100.00,9.0613,8.38
7600,0.0024,100.00,9.0629,8.40
7650,0.0023,100.00,9.0617,8.35
7700,0.0024,100.00,9.0603,8.41
7750,0.0023,100.00,9.0606,8.39
7800,0.0023,100.00,9.0586,8.45
7850,0.0023,100.00,9.0628,8.39
7900,0.0023,100.00,9.0616,8.38
7950,0.0023,100.00,9.0619,8.36
8000,0.0023,100.00,9.0597,8.38
8050,0.0023,100.00,9.0609,8.35
8100,0.0023,100.00,9.0589,8.33
8150,0.0022,100.00,9.0639,8.41
8200,0.0023,100.00,9.0599,8.39
8250,0.0023,100.00,9.0607,8.39
8300,0.0023,100.00,9.0565,8.41
8350,0.0022,100.00,9.0571,8.39
8400,0.0022,100.00,9.0565,8.41
8450,0.0022,100.00,9.0570,8.44
8500,0.0022,100.00,9.0585,8.43
8550,0.0022,100.00,9.0601,8.38
8600,0.0023,100.00,9.0556,8.40
8650,0.0022,100.00,9.0557,8.43
8700,0.0022,100.00,9.0598,8.39
8750,0.0022,100.00,9.0559,8.41
8800,0.0022,100.00,9.0543,8.44
8850,0.0022,100.00,9.0549,8.40
8900,0.0022,100.00,9.0570,8.45
8950,0.0022,100.00,9.0557,8.41
9000,0.0021,100.00,9.0520,8.44
9050,0.0021,100.00,9.0546,8.44
9100,0.0022,100.00,9.0501,8.45
9150,0.0022,100.00,9.0527,8.46
9200,0.0021,100.00,9.0521,8.46
9250,0.0021,100.00,9.0514,8.49
9300,0.0021,100.00,9.0499,8.49
9350,0.0021,100.00,9.0488,8.51
9400,0.0021,100.00,9.0494,8.51
9450,0.0021,100.00,9.0465,8.51
9500,0.0021,100.00,9.0449,8.46
9550,0.0021,100.00,9.0464,8.48
9600,0.0021,100.00,9.0445,8.50
9650,0.0021,100.00,9.0449,8.53
9700,0.0021,100.00,9.0438,8.54
9750,0.0021,100.00,9.0416,8.54
9800,0.0021,100.00,9.0416,8.54
9850,0.0021,100.00,9.0400,8.54
9900,0.0021,100.00,9.0417,8.58
9950,0.0021,100.00,9.0378,8.49
10000,0.0021,100.00,9.0378,8.55
10050,0.0021,100.00,9.0399,8.51
10100,0.0021,100.00,9.0345,8.50
10150,0.0021,100.00,9.0385,8.55
10200,0.0021,100.00,9.0342,8.55
10250,0.0021,100.00,9.0341,8.53
10300,0.0021,100.00,9.0341,8.63
10350,0.0021,100.00,9.0340,8.58
