step,train_loss,train_acc,val_loss,val_acc
0,4.8272,1.17,4.7157,0.82
50,4.1484,8.79,5.0051,0.50
100,2.2624,45.70,7.0568,2.01
150,0.2342,93.55,13.5061,2.55
200,0.7966,79.88,20.0545,2.01
250,1.2009,70.31,17.3765,1.51
300,0.7737,81.05,14.4595,1.58
350,0.6591,84.57,14.4505,1.34
400,0.7666,80.08,14.1805,1.74
450,1.1737,73.63,13.3141,1.41
500,0.8188,79.30,11.6682,1.82
550,1.1495,70.12,10.6281,1.87
600,1.2191,70.12,10.7561,1.99
650,1.3230,65.23,9.9762,1.90
700,1.1510,68.36,9.5315,1.86
750,1.0579,74.61,11.9062,2.09
800,1.1694,71.68,12.1896,2.58
850,2.3652,40.82,8.1398,1.49
900,2.9303,25.78,6.7673,0.53
950,2.8166,27.54,7.4900,0.44
1000,2.6100,31.05,8.2091,0.39
1050,2.1395,39.06,8.7250,0.39
1100,1.9658,43.95,9.6189,0.45
1150,1.7094,50.20,10.7905,0.48
1200,2.0159,43.36,10.8308,0.52
1250,1.9883,43.55,8.5044,0.45
1300,1.9757,44.14,9.3792,0.52
1350,2.2234,40.04,8.7231,0.68
1400,2.2043,41.21,8.5114,0.48
1450,2.6471,32.23,8.3136,0.39
1500,3.0211,24.02,6.7820,0.41
1550,2.9600,23.83,7.1151,0.57
1600,3.0643,21.29,6.5520,0.40
1650,3.4081,17.38,6.3487,0.37
1700,3.2168,17.58,6.4158,0.48
1750,3.1554,21.68,6.9002,0.58
1800,3.8351,11.52,5.4736,0.62
1850,3.7781,10.74,5.8769,0.53
1900,3.9659,9.57,5.7731,0.76
1950,3.8594,8.79,5.7748,0.46
2000,3.7942,10.55,6.1772,0.28
2050,3.6630,8.79,6.2011,0.35
2100,3.4574,12.89,6.6821,0.32
2150,3.2912,13.48,7.1780,0.21
2200,3.3086,13.48,7.0085,0.16
2250,3.9201,7.42,6.7664,0.20
2300,4.0551,3.32,5.3605,0.39
2350,3.8277,5.66,6.0095,0.35
2400,4.2362,3.71,5.1024,0.56
2450,4.0813,6.64,5.6240,0.50
2500,3.8687,5.47,5.8367,0.33
2550,4.1648,3.91,5.8120,0.35
2600,4.0020,4.30,5.5437,0.40
2650,3.9128,4.30,5.9545,0.24
2700,3.7750,3.12,6.2975,0.25
2750,3.6193,7.23,6.6717,0.16
2800,3.6481,5.08,6.8269,0.13
2850,3.6136,5.66,6.9126,0.17
2900,3.5505,9.38,7.1059,0.19
2950,3.6902,4.88,6.9641,0.17
3000,3.6026,4.30,6.7242,0.16
3050,3.6211,5.86,6.9846,0.12
3100,3.5463,3.71,7.1908,0.13
3150,3.4773,6.84,7.0253,0.11
3200,3.4750,4.69,7.2439,0.16
3250,3.4044,5.27,7.3278,0.09
3300,3.3937,6.25,7.4922,0.08
3350,3.3850,6.45,7.5871,0.07
3400,3.3822,5.66,7.4671,0.04
3450,3.3768,4.30,7.6251,0.03
3500,3.2543,7.23,7.9112,0.03
3550,3.2018,7.23,7.8839,0.05
3600,3.2969,5.86,7.7915,0.05
3650,3.2480,6.84,7.6250,0.04
3700,3.2880,6.45,7.7629,0.03
3750,3.2652,6.84,7.9487,0.01
