step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.6821,0.98
50,4.5540,2.73,4.6438,0.37
100,4.4287,5.47,4.8356,0.43
150,4.1195,14.45,4.8023,0.96
200,3.8652,22.85,4.6789,1.73
250,3.7407,26.76,4.5580,3.06
300,3.6394,27.15,4.4174,4.52
350,3.6066,28.91,4.2641,5.71
400,3.5507,29.88,4.1090,6.35
450,3.3955,37.70,3.7694,11.93
500,3.2491,39.84,3.5723,14.13
550,2.8894,58.98,3.0441,35.10
600,2.5599,70.70,2.6604,56.46
650,2.5734,50.59,2.5754,55.15
700,2.0667,89.84,2.1976,76.97
750,1.9962,82.03,1.9449,90.01
800,2.0322,81.64,1.9602,82.12
850,1.8490,89.45,1.8372,91.26
900,1.7553,94.53,1.9791,82.01
950,1.8342,90.04,1.8569,88.34
1000,1.8077,83.20,1.7810,88.07
1050,2.0471,66.21,1.9302,81.48
1100,1.7897,95.70,2.0368,74.23
1150,1.8645,85.16,2.1572,58.32
1200,1.8868,88.87,2.5403,38.07
1250,2.6266,33.98,2.6534,28.77
1300,2.5639,39.84,2.4560,49.97
1350,2.5162,52.73,2.4435,51.59
1400,2.3785,51.56,2.6328,37.43
1450,2.1726,64.26,2.1706,64.32
1500,2.4877,42.97,2.3681,44.90
1550,2.3413,54.10,2.3877,48.91
1600,2.1263,64.26,2.6135,30.95
1650,2.2572,53.91,2.2855,50.32
1700,2.1078,59.38,2.1997,51.86
1750,1.9675,66.60,2.0576,53.83
1800,2.4258,30.47,2.0506,52.39
1850,2.0158,51.37,1.8990,62.75
1900,1.7386,76.76,2.0418,51.62
1950,1.6133,84.18,1.6309,82.28
2000,1.4644,90.23,1.7776,58.29
2050,1.7567,67.38,2.0051,47.48
2100,1.5658,85.55,1.4198,89.19
2150,1.4214,82.81,1.6429,56.08
2200,1.5414,68.16,1.4541,83.08
2250,1.3016,87.11,1.3257,88.04
2300,1.2780,94.14,1.8868,50.08
2350,1.2632,91.80,1.2450,93.46
2400,1.2248,91.21,1.3392,80.95
2450,1.0905,95.31,1.0471,97.08
2500,1.5440,60.35,1.2559,85.28
2550,1.3324,82.03,1.7529,53.00
2600,1.0589,95.70,1.0014,96.41
2650,0.8911,97.46,0.9599,96.92
2700,1.0255,96.68,1.0844,93.17
2750,1.1395,88.48,1.2072,83.55
2800,0.9300,99.22,1.0900,90.09
2850,0.9217,97.85,1.0216,93.49
2900,1.0949,88.09,0.9224,97.53
2950,0.9767,93.75,0.9394,96.28
3000,1.0050,93.16,0.9256,98.65
3050,0.9214,96.88,0.9835,91.74
3100,0.8387,97.27,0.9950,90.57
3150,1.1417,83.20,1.0117,89.05
3200,0.8303,97.07,0.8955,96.63
3250,0.7251,97.85,0.9401,93.60
3300,1.4539,63.67,1.0964,84.25
3350,0.8395,96.88,0.8712,97.37
3400,0.7676,98.24,0.8605,94.69
3450,1.1122,85.55,1.0965,86.74
