step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.6827,1.01
50,4.5412,2.15,4.6714,0.35
100,4.2612,9.77,4.9718,0.56
150,3.6079,23.83,4.8932,2.10
200,3.0195,39.84,4.7260,4.14
250,2.5221,51.95,4.5239,7.65
300,2.0076,66.21,4.2409,13.20
350,1.5411,80.86,3.9197,20.16
400,1.1418,86.52,3.6549,27.63
450,0.9381,92.77,3.3922,35.18
500,0.7621,95.31,3.1687,41.34
550,0.6521,97.66,2.9907,46.25
600,0.5401,98.83,2.8411,50.53
650,0.5074,99.02,2.7436,52.84
700,0.4711,99.41,2.6408,54.09
750,0.5153,99.22,2.5571,55.50
800,0.4626,99.61,2.5178,56.08
850,0.4735,99.80,2.4530,57.20
900,0.4800,99.80,2.4011,57.20
950,0.5883,100.00,2.4055,57.49
1000,0.7535,99.41,2.4523,56.85
1050,0.7367,98.63,2.4353,57.36
1100,0.7828,99.41,2.3695,58.37
1150,0.9373,99.22,2.4640,56.85
1200,0.9527,99.80,2.4434,58.58
1250,1.1428,98.44,2.5183,57.78
1300,1.2584,98.63,2.5483,57.70
1350,1.3998,98.63,2.6286,55.87
1400,1.4626,98.83,2.7511,53.16
1450,1.6890,96.29,2.6847,58.24
1500,1.9069,94.92,2.6991,58.69
1550,1.9912,96.09,2.8065,58.45
1600,2.1988,94.92,2.7817,62.33
1650,2.3317,92.97,2.7819,65.17
1700,2.4391,93.36,2.8579,63.04
1750,2.4600,93.55,2.8406,67.72
1800,2.6476,92.19,3.0107,57.70
1850,2.5066,94.53,2.8503,70.99
1900,2.7473,92.38,2.8996,73.19
1950,2.6215,96.09,2.8932,84.56
2000,2.6447,94.34,2.8678,77.82
2050,2.6950,93.36,2.9051,84.83
2100,2.7679,92.77,2.8020,93.01
2150,2.6333,98.05,2.8193,87.43
2200,2.7430,97.85,2.7594,94.74
2250,2.6578,98.63,2.9159,85.68
2300,2.7541,92.77,2.6935,97.08
2350,2.6579,98.83,2.8662,92.93
2400,2.6812,97.27,2.8531,89.88
2450,2.7506,96.29,2.8757,92.32
2500,2.9395,80.86,3.0844,71.68
2550,2.8232,91.21,2.7719,95.86
2600,2.6835,96.68,2.9826,72.32
2650,2.8165,83.98,2.8080,93.49
2700,2.8239,79.49,2.9333,77.26
2750,2.6356,96.68,2.8222,85.57
2800,2.5900,95.12,2.7696,84.03
2850,2.5589,98.44,2.6459,90.20
2900,2.7317,87.50,2.8360,71.25
2950,2.7345,76.56,2.7292,84.17
3000,2.8452,68.75,2.7912,74.28
3050,2.8560,62.11,2.8626,62.75
3100,2.8032,79.49,2.7534,80.61
3150,2.7932,72.07,2.8178,70.67
3200,2.5640,94.14,2.7540,61.82
3250,2.5621,91.02,2.5221,88.39
3300,2.6114,80.08,2.6465,76.04
3350,2.7131,64.84,2.7196,67.61
3400,2.5832,85.74,2.5864,83.58
3450,2.4868,86.72,2.6465,78.64
3500,2.5101,92.19,2.5572,77.58
3550,2.6150,82.62,2.5178,80.98
3600,2.4843,86.13,2.5588,79.52
3650,2.5525,73.44,2.5223,82.62
3700,2.6220,81.25,2.6406,79.33
3750,2.6820,73.24,2.6554,73.57
3800,2.6893,81.64,2.6557,65.17
3850,2.6168,78.52,2.6450,67.88
3900,2.4292,94.14,2.5331,83.53
3950,2.5356,81.25,2.5304,83.29
4000,2.5123,82.62,2.5912,82.52
4050,2.3848,87.50,2.3669,89.88
4100,2.5092,68.16,2.5644,77.28
4150,2.3573,81.64,2.3801,84.35
4200,2.3322,86.52,2.5318,58.63
4250,2.4111,80.47,2.4576,74.02
4300,2.3518,90.62,2.3426,88.12
4350,2.2896,86.91,2.6090,50.40
4400,2.2112,87.30,2.3509,85.65
4450,2.2989,85.74,2.4692,64.43
4500,2.3269,85.55,2.4102,75.08
4550,2.2651,91.02,2.4087,81.43
