step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.6827,1.01
50,4.5411,3.12,4.6735,0.24
100,4.2841,9.38,4.9767,0.58
150,3.7303,24.02,4.9181,1.62
200,3.1754,38.09,4.7850,3.19
250,2.7119,47.66,4.6343,6.24
300,2.2400,60.94,4.4188,9.54
350,1.7598,72.27,4.1404,15.14
400,1.2707,81.84,3.8564,22.87
450,0.9404,89.65,3.5758,30.79
500,0.6761,93.95,3.2567,39.74
550,0.4827,97.07,3.0286,45.80
600,0.3219,98.63,2.8572,49.73
650,0.2301,99.22,2.6724,54.06
700,0.1465,99.41,2.5409,55.63
750,0.1479,99.80,2.4566,56.91
800,0.0881,100.00,2.3795,57.57
850,0.0808,99.61,2.3296,57.81
900,0.0752,100.00,2.1935,58.63
950,0.0596,100.00,2.1179,59.30
1000,0.0576,100.00,2.0188,59.86
1050,0.0437,100.00,1.8777,61.29
1100,0.0439,100.00,1.7623,62.27
1150,0.0374,99.80,1.6215,63.07
1200,0.0458,99.80,1.5248,64.13
1250,0.0347,100.00,1.3393,66.55
1300,0.0435,99.80,1.2267,67.83
1350,0.0242,100.00,0.9772,73.75
1400,0.0231,99.80,0.7807,77.47
1450,0.0129,100.00,0.5404,84.94
1500,0.0101,100.00,0.3344,91.58
1550,0.0106,100.00,0.1937,95.27
1600,0.0051,100.00,0.0886,98.59
1650,0.0010,100.00,0.0222,99.81
1700,0.0012,100.00,0.0155,99.87
1750,0.0081,100.00,0.0366,99.79
1800,0.0008,100.00,0.0032,100.00
1850,0.0007,100.00,0.0023,100.00
1900,0.1444,98.83,0.8740,75.45
1950,0.0015,100.00,0.0029,100.00
2000,0.0006,100.00,0.0012,100.00
2050,0.0006,100.00,0.0012,100.00
2100,0.0101,100.00,0.0131,100.00
2150,0.0007,100.00,0.0012,100.00
2200,0.0007,100.00,0.0010,100.00
2250,0.0007,100.00,0.0010,100.00
2300,0.0110,100.00,0.0121,100.00
2350,0.0005,100.00,0.0007,100.00
2400,0.0006,100.00,0.0007,100.00
2450,0.0005,100.00,0.0006,100.00
2500,0.0011,100.00,0.0015,100.00
2550,0.0005,100.00,0.0006,100.00
2600,0.0005,100.00,0.0006,100.00
2650,0.0407,100.00,0.0338,99.89
2700,0.0005,100.00,0.0006,100.00
2750,0.0005,100.00,0.0006,100.00
2800,0.0004,100.00,0.0005,100.00
2850,0.0019,100.00,0.0031,100.00
