step,train_loss,train_acc,val_loss,val_acc
0,4.7641,1.17,4.6827,0.98
50,4.5605,2.34,4.6611,0.58
100,4.3054,6.64,4.8927,0.32
150,4.0139,13.48,4.9507,0.98
200,3.6010,23.63,4.8568,1.51
250,3.1998,33.01,4.6692,3.11
300,2.9106,37.70,4.3980,4.78
350,2.5718,42.38,3.9386,8.45
400,1.9266,60.74,3.2378,16.50
450,1.4750,74.80,2.5332,27.79
500,1.2591,78.71,2.1323,36.66
550,1.0417,81.64,1.9190,42.75
600,0.9346,83.20,1.7466,46.97
650,0.7992,88.09,1.6209,52.10
700,0.7752,87.50,1.4659,56.11
750,0.6428,90.23,1.3215,60.07
800,0.5335,92.38,1.0829,69.53
850,0.4450,94.73,0.8650,77.71
900,0.3471,96.29,0.6773,84.43
950,0.2171,98.24,0.3677,93.84
1000,0.1152,99.80,0.1797,98.62
1050,0.0803,99.80,0.0918,99.65
1100,0.0929,99.22,0.0759,99.81
1150,0.0409,100.00,0.0413,99.92
1200,0.0511,99.80,0.0392,99.97
1250,0.0424,100.00,0.0351,99.84
1300,0.0203,100.00,0.0166,99.97
1350,0.0352,100.00,0.0269,99.81
1400,0.0142,100.00,0.0157,99.95
1450,0.0199,100.00,0.0064,100.00
1500,0.0175,100.00,0.0107,99.95
1550,0.0182,99.80,0.0091,99.95
1600,0.0198,99.80,0.0110,99.97
1650,0.0166,100.00,0.0167,99.81
1700,0.0145,100.00,0.0056,99.97
1750,0.0343,99.61,0.0076,99.97
1800,0.0170,100.00,0.0058,100.00
1850,0.0104,100.00,0.0028,100.00
1900,0.0176,99.80,0.0078,100.00
1950,0.0111,100.00,0.0060,100.00
2000,0.0084,100.00,0.0058,100.00
2050,0.0186,99.61,0.0023,100.00
2100,0.0092,100.00,0.0052,99.97
2150,0.0205,100.00,0.0087,100.00
2200,0.0133,100.00,0.0059,100.00
2250,0.0088,100.00,0.0034,100.00
2300,0.0191,100.00,0.0042,100.00
2350,0.0070,100.00,0.0030,100.00
2400,0.0141,100.00,0.0034,100.00
2450,0.0152,100.00,0.0053,100.00
2500,0.0104,100.00,0.0022,100.00
2550,0.0155,100.00,0.0052,100.00
2600,0.0221,99.22,0.0064,100.00
2650,0.0093,100.00,0.0068,100.00
2700,0.0170,100.00,0.0022,100.00
