step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.8997,0.98
50,4.6305,0.78,4.6310,0.88
100,4.5887,0.98,4.6080,0.85
150,4.5754,1.17,4.5984,1.06
200,4.5808,0.39,4.5988,0.74
250,4.5827,0.98,4.5982,0.74
300,4.5843,0.39,4.5994,0.85
350,4.5782,1.37,4.5895,0.80
400,4.5667,1.56,4.5931,0.72
450,4.5735,1.56,4.6181,0.58
500,4.5616,2.54,4.6083,0.66
550,4.5747,1.17,4.6175,0.66
600,4.5567,0.78,4.6220,0.98
650,4.5486,1.76,4.6219,0.66
700,4.5619,0.59,4.6231,0.93
750,4.5258,1.76,4.5797,0.85
800,4.5635,0.98,4.5950,1.06
850,4.5752,1.17,4.5975,0.90
900,4.5665,1.76,4.6022,0.69
950,4.5645,0.98,4.6092,0.64
1000,4.5793,2.15,4.6054,0.50
1050,4.5742,1.95,4.6051,0.61
1100,4.5721,1.76,4.6031,0.48
1150,4.5598,1.37,4.6138,0.58
1200,4.5723,2.34,4.6069,0.48
1250,4.5654,1.17,4.6134,0.48
1300,4.5706,0.98,4.6029,0.77
1350,4.5760,0.78,4.6046,0.77
1400,4.5697,1.37,4.6107,0.50
1450,4.5720,0.39,4.6091,0.61
1500,4.5719,1.56,4.6125,0.48
1550,4.5653,1.56,4.6081,0.66
1600,4.5651,1.95,4.6097,0.48
1650,4.5645,1.37,4.6075,0.50
1700,4.5536,2.73,4.6063,0.48
1750,4.5721,2.15,4.6148,0.43
1800,4.5645,2.15,4.6196,0.45
1850,4.5781,1.37,4.6326,0.45
1900,4.5523,0.98,4.6297,0.37
1950,4.5572,0.98,4.6329,0.43
2000,4.5589,1.37,4.6367,0.45
2050,4.5694,1.17,4.6311,0.32
2100,4.5680,0.98,4.6305,0.37
2150,4.5592,0.78,4.6412,0.43
2200,4.5605,0.98,4.6309,0.48
2250,4.5627,1.37,4.6414,0.35
2300,4.5500,2.54,4.6428,0.37
2350,4.5826,1.76,4.5903,0.80
2400,4.5680,1.37,4.5868,0.98
2450,4.5784,0.59,4.5895,0.66
2500,4.5732,0.78,4.5915,0.80
2550,4.5693,0.78,4.5872,0.77
2600,4.5735,1.95,4.5892,0.82
2650,4.5718,1.56,4.5954,0.53
2700,4.5627,0.78,4.5949,0.80
2750,4.5717,3.32,4.5964,0.66
2800,4.5684,0.39,4.6063,0.85
2850,4.5792,1.37,4.6018,0.69
2900,4.5694,1.76,4.6175,0.72
2950,4.5595,0.78,4.6072,0.45
3000,4.5729,1.37,4.6072,0.48
3050,4.5754,0.78,4.6088,0.53
3100,4.5706,1.17,4.6091,0.53
3150,4.5682,0.98,4.6128,0.53
3200,4.5733,1.17,4.6087,0.64
3250,4.5657,1.76,4.6150,0.66
3300,4.5611,1.17,4.6151,0.53
3350,4.5593,2.15,4.6271,0.58
