step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.6830,1.01
50,4.5320,2.73,4.6912,0.32
100,4.1507,12.30,5.0450,0.72
150,3.2894,32.81,4.9918,2.84
200,2.4409,56.45,4.8300,6.19
250,1.6350,70.70,4.5664,12.67
300,0.9004,87.70,4.2157,23.38
350,0.4122,96.88,3.9397,34.33
400,0.1574,99.41,3.8264,39.82
450,0.0912,99.61,3.8025,44.18
500,0.0320,100.00,3.7243,48.33
550,0.0218,100.00,3.7054,49.73
600,0.0134,100.00,3.7473,49.84
650,0.0079,100.00,3.7269,51.30
700,0.0060,100.00,3.7165,52.05
750,0.0044,100.00,3.7230,52.36
800,0.0036,100.00,3.7304,52.26
850,0.0031,100.00,3.7382,52.55
900,0.0027,100.00,3.7489,52.68
950,0.0024,100.00,3.7603,52.74
1000,0.0023,100.00,3.7675,52.90
1050,0.0020,100.00,3.7785,52.98
1100,0.0018,100.00,3.7908,53.00
1150,0.0017,100.00,3.7997,53.16
1200,0.0015,100.00,3.8066,53.37
1250,0.0014,100.00,3.8181,53.24
1300,0.0013,100.00,3.8253,53.29
1350,0.0013,100.00,3.8350,53.53
1400,0.0012,100.00,3.8430,53.37
1450,0.0010,100.00,3.8512,53.53
1500,0.0010,100.00,3.8617,53.51
1550,0.0009,100.00,3.8678,53.56
1600,0.0009,100.00,3.8789,53.59
1650,0.0008,100.00,3.8865,53.59
1700,0.0008,100.00,3.8943,53.67
1750,0.0008,100.00,3.9012,53.67
1800,0.0007,100.00,3.9100,53.75
1850,0.0007,100.00,3.9171,53.77
1900,0.0006,100.00,3.9241,53.88
1950,0.0006,100.00,3.9314,53.80
2000,0.0006,100.00,3.9371,53.91
2050,0.0005,100.00,3.9473,53.93
2100,0.0005,100.00,3.9524,54.04
2150,0.0005,100.00,3.9599,53.93
2200,0.0005,100.00,3.9673,54.09
2250,0.0005,100.00,3.9733,54.09
2300,0.0004,100.00,3.9799,54.12
2350,0.0004,100.00,3.9877,54.12
2400,0.0004,100.00,3.9934,54.06
2450,0.0004,100.00,4.0003,54.14
2500,0.0004,100.00,4.0072,54.17
2550,0.0003,100.00,4.0134,54.22
2600,0.0003,100.00,4.0204,54.25
2650,0.0003,100.00,4.0257,54.33
2700,0.0003,100.00,4.0332,54.28
2750,0.0003,100.00,4.0391,54.28
2800,0.0003,100.00,4.0457,54.38
2850,0.0003,100.00,4.0522,54.30
2900,0.0003,100.00,4.0590,54.30
2950,0.0002,100.00,4.0627,54.38
3000,0.0003,100.00,4.0697,54.46
