step,train_loss,train_acc,val_loss,val_acc
0,4.7509,1.05,4.7275,1.06
50,4.5768,1.20,4.6008,0.74
100,4.5726,1.20,4.6009,0.69
150,4.5701,1.24,4.6023,0.61
200,4.5680,1.26,4.6042,0.58
250,4.5661,1.31,4.6067,0.45
300,4.5641,1.38,4.6097,0.45
350,4.5619,1.45,4.6133,0.43
400,4.5594,1.52,4.6180,0.40
450,4.5564,1.54,4.6239,0.37
500,4.5527,1.75,4.6317,0.35
550,4.5480,1.79,4.6420,0.27
600,4.5420,1.90,4.6561,0.29
650,4.5341,2.20,4.6761,0.29
700,4.5235,2.25,4.7057,0.27
750,4.5090,2.36,4.7511,0.21
800,4.4889,2.44,4.8220,0.13
850,4.4621,2.78,4.9199,0.19
900,4.4274,3.42,5.0235,0.03
950,4.3979,4.00,5.0798,0.05
1000,4.3524,4.55,5.1158,0.11
1050,4.3094,5.58,5.1441,0.11
1100,4.2576,6.86,5.1641,0.05
1150,4.1991,7.88,5.1817,0.11
1200,4.1367,10.08,5.2005,0.13
1250,4.0724,11.98,5.2091,0.19
1300,4.0044,13.39,5.2184,0.19
1350,3.9361,15.41,5.2255,0.24
1400,3.8681,16.92,5.2266,0.35
1450,3.8009,18.80,5.2290,0.27
1500,3.7356,20.66,5.2251,0.56
1550,3.6695,21.86,5.2224,0.43
1600,3.6051,23.65,5.2167,0.61
1650,3.5424,25.24,5.2062,0.72
1700,3.4800,26.50,5.2027,0.85
1750,3.4175,29.03,5.1888,1.04
1800,3.3580,30.29,5.1852,1.12
1850,3.2992,31.69,5.1769,1.33
1900,3.2405,32.68,5.1621,1.38
1950,3.1833,34.30,5.1555,1.54
2000,3.1263,35.87,5.1383,1.70
2050,3.0699,36.67,5.1287,1.89
2100,3.0154,38.69,5.1308,2.02
2150,2.9620,40.16,5.1104,2.39
2200,2.9076,41.24,5.1056,2.31
2250,2.8545,43.12,5.0950,2.68
2300,2.8024,43.65,5.0779,3.24
2350,2.7507,44.80,5.0528,2.98
2400,2.6987,45.79,5.0538,3.21
2450,2.6487,46.22,5.0224,3.43
2500,2.6000,48.72,5.0159,3.59
2550,2.5497,49.64,5.0008,3.96
2600,2.4990,51.34,4.9958,4.68
2650,2.4522,51.69,4.9764,4.60
2700,2.4031,52.05,4.9467,4.68
2750,2.3569,54.26,4.9438,5.10
2800,2.3092,54.35,4.8998,5.74
2850,2.2645,55.75,4.8889,5.98
2900,2.2175,56.95,4.8672,5.92
2950,2.1717,56.83,4.8401,6.91
3000,2.1258,59.33,4.8245,6.80
3050,2.0797,60.27,4.7993,6.96
3100,2.0373,61.06,4.7827,7.81
3150,1.9919,62.29,4.7471,7.70
3200,1.9474,62.89,4.7167,8.32
3250,1.9037,64.53,4.6830,8.42
3300,1.8624,64.78,4.6693,8.93
3350,1.8192,66.01,4.6426,9.27
3400,1.7778,67.10,4.6021,9.99
3450,1.7354,67.78,4.5622,10.92
3500,1.6930,69.14,4.5431,10.47
3550,1.6520,69.78,4.5111,11.69
3600,1.6110,70.56,4.4615,11.88
3650,1.5694,71.59,4.4272,12.73
3700,1.5309,72.65,4.3988,12.89
3750,1.4905,73.73,4.3562,13.71
3800,1.4517,74.30,4.3070,14.40
3850,1.4111,75.04,4.2721,14.96
3900,1.3736,76.42,4.2304,15.78
3950,1.3357,76.78,4.1837,16.21
4000,1.2964,79.45,4.1524,16.66
4050,1.2589,78.97,4.1014,17.43
4100,1.2231,79.86,4.0720,18.33
4150,1.1854,81.29,4.0275,18.23
4200,1.1512,81.77,3.9693,19.55
4250,1.1156,83.01,3.9390,20.09
4300,1.0812,83.51,3.8978,21.25
4350,1.0471,84.75,3.8495,21.92
4400,1.0142,85.26,3.7983,22.32
4450,0.9797,85.86,3.7684,24.04
4500,0.9496,87.25,3.7268,24.39
4550,0.9162,87.95,3.6858,25.85
4600,0.8849,88.36,3.6259,26.12
4650,0.8560,89.19,3.5877,27.21
4700,0.8248,89.65,3.5598,28.03
4750,0.7981,91.00,3.5102,28.29
4800,0.7703,91.25,3.4690,29.62
4850,0.7420,91.92,3.4474,30.92
4900,0.7143,92.56,3.3864,31.38
4950,0.6893,93.36,3.3575,31.93
5000,0.6637,93.89,3.3285,32.78
5050,0.6403,94.17,3.2918,32.92
5100,0.6153,95.04,3.2468,35.20
5150,0.5922,95.29,3.2203,35.39
5200,0.5703,95.57,3.1764,35.73
5250,0.5488,96.26,3.1471,36.32
5300,0.5287,96.60,3.1190,37.22
5350,0.5071,96.97,3.0903,37.96
5400,0.4875,97.40,3.0549,38.60
5450,0.4679,97.57,3.0295,39.40
5500,0.4488,97.98,2.9953,39.77
5550,0.4321,97.87,2.9562,40.83
5600,0.4128,98.42,2.9375,42.03
5650,0.3959,98.78,2.9149,42.40
5700,0.3785,98.97,2.8826,43.23
5750,0.3649,98.94,2.8430,43.28
5800,0.3486,99.33,2.8234,44.26
5850,0.3342,99.40,2.8075,44.53
5900,0.3201,99.49,2.7776,45.16
5950,0.3077,99.57,2.7508,45.46
