step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.9502,0.98
50,4.6094,0.98,4.6076,0.88
100,4.4975,4.49,4.7601,0.29
150,3.9049,14.84,5.0696,0.90
200,3.1635,31.45,5.0618,2.50
250,2.5323,45.70,4.9646,4.78
300,1.7424,67.77,4.8252,8.10
350,1.0744,83.59,4.7086,11.72
400,0.7012,90.43,4.4940,18.30
450,0.3982,94.73,4.3433,23.43
500,0.2264,97.66,4.3640,28.06
550,0.1113,98.63,4.3532,32.73
600,0.0550,99.41,4.3085,36.03
650,0.0858,99.22,4.5102,32.70
700,0.0583,98.83,4.5373,35.95
750,0.0184,99.61,4.3875,39.88
800,0.0051,100.00,4.2920,42.85
850,0.0037,100.00,4.2804,44.00
900,0.0032,100.00,4.2813,44.37
950,0.0031,100.00,4.2691,44.39
1000,0.0032,100.00,4.2650,44.53
1050,0.6393,82.23,5.4809,19.66
1100,0.0913,99.02,4.7392,34.14
1150,0.0245,99.80,4.5793,39.40
1200,0.0029,100.00,4.3607,45.38
1250,0.0020,100.00,4.3116,46.65
1300,0.0020,100.00,4.2644,47.18
1350,0.0020,100.00,4.2227,47.40
1400,0.0022,100.00,4.1705,47.72
1450,0.0020,100.00,4.1295,47.53
1500,0.0024,100.00,4.0806,47.56
1550,0.4123,89.26,4.8969,26.59
1600,0.0751,99.02,4.6193,35.68
1650,0.0042,100.00,4.1775,46.07
1700,0.0073,100.00,4.2159,45.80
1750,0.0073,100.00,4.2413,45.80
1800,0.0019,100.00,4.1098,49.18
1850,0.0015,100.00,4.0535,50.03
1900,0.0015,100.00,3.9957,50.82
1950,0.0016,100.00,3.9359,51.06
2000,0.0017,100.00,3.8741,51.65
2050,0.0020,100.00,3.8196,51.25
2100,0.0025,100.00,3.7740,50.77
2150,0.2199,94.73,4.5253,31.83
2200,0.0284,99.61,3.9538,45.03
2250,0.0146,99.80,3.7975,49.52
2300,0.0030,100.00,3.7396,50.66
2350,0.0325,99.22,3.9943,45.03
2400,0.0097,100.00,3.8456,48.54
2450,0.0019,100.00,3.6511,52.23
2500,0.0013,100.00,3.5917,52.98
2550,0.0012,100.00,3.5311,53.27
2600,0.0014,100.00,3.4643,53.75
2650,0.0016,100.00,3.4004,54.20
2700,0.0020,100.00,3.3668,54.17
2750,1.1868,72.27,4.7023,19.26
2800,0.0996,98.44,3.6902,43.28
2850,0.0702,98.44,3.4758,47.53
2900,0.0025,100.00,3.1419,55.07
2950,0.0017,100.00,3.0865,55.87
3000,0.0016,100.00,3.0386,56.27
3050,0.0015,100.00,3.0005,56.75
3100,0.0016,100.00,2.9480,56.85
3150,0.0018,100.00,2.8875,56.88
3200,0.0022,100.00,2.8238,56.85
3250,0.2691,94.14,3.5457,40.49
3300,0.0478,99.22,2.9320,52.58
3350,0.0027,100.00,2.6270,57.55
3400,0.0020,100.00,2.5857,57.92
3450,0.0018,100.00,2.5487,57.92
3500,0.0018,100.00,2.5140,58.26
3550,0.0019,100.00,2.4712,58.53
3600,0.0020,100.00,2.4203,58.53
3650,1.0054,75.78,4.1273,25.48
3700,0.0743,98.83,2.5648,52.76
3750,0.0030,100.00,2.1215,60.23
3800,0.0019,100.00,2.0736,60.57
3850,0.0016,100.00,2.0305,60.79
3900,0.0017,100.00,1.9891,61.00
3950,0.0018,100.00,1.9443,61.03
4000,0.0018,100.00,1.8897,61.16
4050,0.0026,100.00,1.8455,61.32
4100,0.1348,97.27,2.3877,53.29
4150,0.0036,100.00,1.5848,63.63
4200,0.0021,100.00,1.5070,64.08
4250,0.0016,100.00,1.4610,64.61
4300,0.0016,100.00,1.4160,65.44
4350,0.0016,100.00,1.3596,65.99
4400,0.0018,100.00,1.3165,66.31
4450,5.2692,6.84,6.3985,2.60
4500,0.0886,97.85,1.6316,61.80
4550,0.0029,100.00,0.8994,73.65
4600,0.0019,100.00,0.8340,75.24
4650,0.0018,100.00,0.7916,76.38
4700,0.0016,100.00,0.7312,77.52
4750,0.0016,100.00,0.6778,78.80
4800,0.0018,100.00,0.6111,81.00
4850,0.1317,97.07,1.0898,70.99
4900,0.0024,100.00,0.3661,88.28
4950,0.0015,100.00,0.2907,90.75
5000,0.0013,100.00,0.2387,92.85
5050,0.0012,100.00,0.1895,94.93
5100,0.0012,100.00,0.1534,96.23
5150,0.0013,100.00,0.1145,97.87
5200,0.1262,96.48,0.4573,87.06
5250,0.0018,100.00,0.0681,98.75
5300,0.0012,100.00,0.0442,99.39
5350,0.0010,100.00,0.0311,99.71
5400,0.0010,100.00,0.0227,99.81
5450,0.0009,100.00,0.0164,99.87
5500,0.0011,100.00,0.0118,99.97
5550,0.0479,99.80,0.1503,97.16
5600,0.0014,100.00,0.0092,100.00
5650,0.0010,100.00,0.0055,100.00
5700,0.0009,100.00,0.0041,100.00
5750,0.0009,100.00,0.0034,100.00
5800,0.0009,100.00,0.0030,100.00
5850,0.0567,99.22,0.1154,98.03
5900,0.0011,100.00,0.0034,100.00
5950,0.0008,100.00,0.0022,100.00
6000,0.0008,100.00,0.0018,100.00
6050,0.0008,100.00,0.0016,100.00
6100,0.0009,100.00,0.0017,100.00
6150,0.0974,98.83,0.1973,95.96
6200,0.0014,100.00,0.0027,100.00
6250,0.0009,100.00,0.0017,100.00
6300,0.0008,100.00,0.0014,100.00
6350,0.0008,100.00,0.0013,100.00
6400,0.0008,100.00,0.0013,100.00
6450,0.0026,100.00,0.0045,100.00
6500,0.0011,100.00,0.0018,100.00
6550,0.0008,100.00,0.0012,100.00
6600,0.0007,100.00,0.0011,100.00
6650,0.0008,100.00,0.0011,100.00
6700,0.9720,72.66,0.3373,92.61
6750,0.0017,100.00,0.0027,100.00
6800,0.0010,100.00,0.0015,100.00
6850,0.0008,100.00,0.0011,100.00
6900,0.0007,100.00,0.0010,100.00
6950,0.0009,100.00,0.0012,100.00
7000,0.0021,100.00,0.0033,100.00
7050,0.0011,100.00,0.0016,100.00
7100,0.0008,100.00,0.0011,100.00
7150,0.0007,100.00,0.0010,100.00
7200,0.0008,100.00,0.0010,100.00
7250,0.0030,100.00,0.0046,100.00
7300,0.0011,100.00,0.0016,100.00
7350,0.0008,100.00,0.0011,100.00
7400,0.0007,100.00,0.0010,100.00
7450,0.0007,100.00,0.0009,100.00
7500,0.3024,94.53,0.7563,78.93
7550,0.0014,100.00,0.0020,100.00
7600,0.0008,100.00,0.0012,100.00
7650,0.0007,100.00,0.0009,100.00
7700,0.0007,100.00,0.0008,100.00
7750,0.0007,100.00,0.0009,100.00
7800,0.0516,99.61,0.0801,98.94
7850,0.0013,100.00,0.0019,100.00
7900,0.0009,100.00,0.0012,100.00
7950,0.0007,100.00,0.0010,100.00
8000,0.0007,100.00,0.0009,100.00
8050,0.0011,100.00,0.0011,100.00
8100,0.0316,100.00,0.0456,99.36
8150,0.0013,100.00,0.0018,100.00
8200,0.0008,100.00,0.0011,100.00
8250,0.0007,100.00,0.0009,100.00
8300,0.0006,100.00,0.0008,100.00
8350,0.0007,100.00,0.0009,100.00
8400,0.0022,100.00,0.0028,100.00
8450,0.0010,100.00,0.0013,100.00
8500,0.0008,100.00,0.0009,100.00
8550,0.0007,100.00,0.0008,100.00
8600,2.1988,52.34,0.9258,72.00
8650,0.0016,100.00,0.0021,100.00
8700,0.0009,100.00,0.0011,100.00
8750,0.0007,100.00,0.0009,100.00
