step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.7508,1.06
50,4.5827,0.78,4.6102,0.80
100,4.5705,1.37,4.6103,0.98
150,4.5670,1.76,4.6090,0.80
200,4.5707,1.17,4.6171,0.85
250,4.5715,0.78,4.6225,0.61
300,4.5727,0.98,4.6363,0.58
350,4.5589,1.95,4.6389,0.72
400,4.5372,2.34,4.6613,0.45
450,4.5256,2.15,4.6975,0.50
500,4.5017,2.54,4.7352,0.29
550,4.5007,4.10,4.7969,0.32
600,4.4319,3.32,4.8941,0.13
650,4.4383,3.91,5.0206,0.11
700,4.2890,6.84,5.1250,0.08
750,4.3083,7.03,5.1666,0.13
800,4.2433,6.25,5.1826,0.24
850,4.1183,11.33,5.1975,0.11
900,3.9763,14.84,5.2127,0.13
950,3.9921,12.11,5.2289,0.24
1000,3.8759,16.02,5.2261,0.37
1050,3.7187,20.31,5.2294,0.66
1100,3.6278,26.37,5.2186,0.69
1150,3.5299,25.39,5.2094,0.90
1200,3.3960,27.34,5.1930,1.12
1250,3.2852,28.12,5.1854,1.33
1300,3.1382,37.11,5.1715,1.22
1350,3.1053,32.81,5.1447,1.70
1400,2.9159,40.82,5.1149,2.21
1450,2.8186,45.70,5.0933,2.34
1500,2.6907,48.44,5.0689,3.40
1550,2.6089,50.00,5.0336,3.53
1600,2.5924,46.68,5.0036,3.91
1650,2.4628,52.54,4.9457,5.15
1700,2.3523,52.73,4.9020,5.58
1750,2.3397,55.08,4.8568,5.87
1800,2.2637,54.69,4.8210,6.85
1850,2.0400,60.55,4.7481,7.60
1900,1.8771,63.67,4.6698,9.11
1950,1.9077,62.89,4.5864,9.48
2000,1.6882,67.38,4.5140,10.55
2050,1.6442,68.75,4.4210,12.11
2100,1.4943,74.02,4.3360,13.07
2150,1.5554,70.90,4.2291,15.44
2200,1.3439,77.73,4.1136,16.50
2250,1.2981,76.17,4.0017,17.93
2300,1.2005,81.84,3.8883,20.40
2350,1.0863,85.16,3.7783,21.71
2400,0.9639,86.91,3.6600,24.18
2450,0.9622,87.30,3.5615,25.77
2500,0.8314,89.06,3.4384,28.96
2550,0.7885,90.62,3.2894,31.91
2600,0.7057,93.95,3.1816,32.89
2650,0.6562,93.36,3.0576,36.00
2700,0.6199,92.97,2.9664,38.20
2750,0.5529,95.12,2.8597,39.90
2800,0.4975,97.66,2.7277,42.72
2850,0.4580,97.46,2.6272,44.34
2900,0.3977,97.07,2.5325,46.68
2950,0.3364,99.61,2.4308,49.18
3000,0.3307,98.83,2.3168,50.43
3050,0.2623,99.61,2.2211,52.42
3100,0.2255,99.61,2.1323,54.12
3150,0.2025,100.00,2.0282,56.38
3200,0.1752,100.00,1.9517,57.23
3250,0.1468,100.00,1.8611,58.45
3300,0.1277,100.00,1.7741,59.88
3350,0.1149,100.00,1.6823,60.47
3400,0.0900,100.00,1.6040,61.50
3450,0.0830,100.00,1.5100,63.31
3500,0.0681,100.00,1.4494,63.89
3550,0.0575,100.00,1.3677,64.82
3600,0.0491,100.00,1.3107,66.15
3650,0.0418,100.00,1.2564,66.47
3700,0.0405,100.00,1.2094,67.35
3750,0.0339,100.00,1.1685,68.09
3800,0.0312,100.00,1.1471,68.04
3850,0.0272,100.00,1.1099,68.84
3900,0.0249,100.00,1.0860,69.10
3950,0.0234,100.00,1.0681,69.58
4000,0.0231,100.00,1.0384,70.35
4050,0.0190,100.00,1.0146,70.72
4100,0.0197,100.00,0.9984,71.01
4150,0.0175,100.00,0.9754,71.07
4200,0.0170,100.00,0.9614,71.84
4250,0.0145,100.00,0.9423,72.42
4300,0.0151,100.00,0.9266,72.61
4350,0.0143,100.00,0.9132,72.79
4400,0.0142,100.00,0.8946,73.22
4450,0.0126,100.00,0.8862,73.33
4500,0.0130,100.00,0.8632,74.12
4550,0.0121,100.00,0.8582,74.28
4600,0.0114,100.00,0.8436,74.10
4650,0.0114,100.00,0.8302,75.00
4700,0.0107,100.00,0.8214,75.11
4750,0.0104,100.00,0.8098,75.35
4800,0.0096,100.00,0.8003,75.37
4850,0.0099,100.00,0.7908,75.90
4900,0.0097,100.00,0.7807,76.54
4950,0.0092,100.00,0.7709,76.28
5000,0.0085,100.00,0.7569,76.49
5050,0.0084,100.00,0.7470,76.91
5100,0.0082,100.00,0.7428,77.18
5150,0.0079,100.00,0.7344,77.44
5200,0.0076,100.00,0.7273,77.63
5250,0.0076,100.00,0.7190,77.71
5300,0.0073,100.00,0.7057,77.95
5350,0.0073,100.00,0.7030,78.24
5400,0.0070,100.00,0.6924,78.59
5450,0.0069,100.00,0.6841,78.77
5500,0.0067,100.00,0.6778,78.88
5550,0.0065,100.00,0.6695,78.96
5600,0.0065,100.00,0.6628,79.41
5650,0.0064,100.00,0.6541,79.20
5700,0.0061,100.00,0.6531,79.54
5750,0.0063,100.00,0.6439,79.78
5800,0.0060,100.00,0.6345,79.86
5850,0.0061,100.00,0.6314,80.15
5900,0.0057,100.00,0.6193,80.69
5950,0.0055,100.00,0.6168,80.69
6000,0.0054,100.00,0.6108,80.79
6050,0.0054,100.00,0.6067,80.84
6100,0.0051,100.00,0.6024,81.06
6150,0.0053,100.00,0.5946,81.19
6200,0.0053,100.00,0.5861,81.27
6250,0.0049,100.00,0.5836,81.40
6300,0.0050,100.00,0.5753,81.93
6350,0.0047,100.00,0.5736,81.88
6400,0.0047,100.00,0.5656,81.99
6450,0.0048,100.00,0.5618,82.33
6500,0.0048,100.00,0.5556,82.31
6550,0.0044,100.00,0.5485,82.57
6600,0.0043,100.00,0.5431,82.94
6650,0.0045,100.00,0.5401,83.02
6700,0.0044,100.00,0.5330,83.29
6750,0.0041,100.00,0.5287,83.40
6800,0.0042,100.00,0.5248,83.58
6850,0.0041,100.00,0.5203,83.77
6900,0.0043,100.00,0.5163,83.63
6950,0.0040,100.00,0.5107,84.03
7000,0.0040,100.00,0.5025,84.40
7050,0.0038,100.00,0.5026,84.40
7100,0.0039,100.00,0.4959,84.80
7150,0.0038,100.00,0.4932,84.67
7200,0.0038,100.00,0.4876,84.83
7250,0.0037,100.00,0.4849,84.83
7300,0.0039,100.00,0.4816,85.02
7350,0.0038,100.00,0.4754,85.31
7400,0.0036,100.00,0.4688,85.39
7450,0.0035,100.00,0.4654,85.55
7500,0.0036,100.00,0.4614,85.68
7550,0.0035,100.00,0.4578,85.65
7600,0.0034,100.00,0.4550,85.95
7650,0.0034,100.00,0.4525,85.73
7700,0.0034,100.00,0.4483,86.05
7750,0.0035,100.00,0.4444,86.18
7800,0.0033,100.00,0.4415,86.34
7850,0.0033,100.00,0.4364,86.45
7900,0.0032,100.00,0.4334,86.58
7950,0.0030,100.00,0.4287,86.72
8000,0.0032,100.00,0.4241,86.85
8050,0.0032,100.00,0.4241,86.98
8100,0.0031,100.00,0.4167,86.93
8150,0.0031,100.00,0.4142,87.01
8200,0.0031,100.00,0.4121,87.25
8250,0.0030,100.00,0.4074,87.51
8300,0.0030,100.00,0.4038,87.46
8350,0.0030,100.00,0.3995,87.51
8400,0.0030,100.00,0.3958,87.75
8450,0.0030,100.00,0.3941,87.67
8500,0.0029,100.00,0.3916,87.94
8550,0.0028,100.00,0.3892,88.04
8600,0.0028,100.00,0.3843,88.26
8650,0.0028,100.00,0.3821,88.23
8700,0.0028,100.00,0.3792,88.10
8750,0.0028,100.00,0.3764,88.47
8800,0.0028,100.00,0.3719,88.68
8850,0.0028,100.00,0.3688,88.60
8900,0.0027,100.00,0.3681,88.76
8950,0.0027,100.00,0.3647,88.95
9000,0.0026,100.00,0.3605,89.16
9050,0.0026,100.00,0.3570,89.27
9100,0.0027,100.00,0.3543,89.11
9150,0.0026,100.00,0.3512,89.21
9200,0.0026,100.00,0.3496,89.43
9250,0.0026,100.00,0.3440,89.64
9300,0.0026,100.00,0.3439,89.72
9350,0.0027,100.00,0.3408,89.69
9400,0.0025,100.00,0.3375,89.88
9450,0.0025,100.00,0.3344,89.85
9500,0.0025,100.00,0.3317,89.96
9550,0.0025,100.00,0.3304,89.85
9600,0.0025,100.00,0.3273,90.09
9650,0.0025,100.00,0.3233,90.41
9700,0.0024,100.00,0.3203,90.41
9750,0.0024,100.00,0.3196,90.38
9800,0.0024,100.00,0.3166,90.49
9850,0.0023,100.00,0.3137,90.83
9900,0.0024,100.00,0.3125,90.54
9950,0.0024,100.00,0.3080,90.73
10000,0.0024,100.00,0.3054,90.97
10050,0.0024,100.00,0.3047,91.05
10100,0.0023,100.00,0.3033,90.99
10150,0.0023,100.00,0.2984,91.29
10200,0.0023,100.00,0.2964,91.39
10250,0.0022,100.00,0.2935,91.45
10300,0.0023,100.00,0.2924,91.47
10350,0.0023,100.00,0.2907,91.58
10400,0.0022,100.00,0.2879,91.47
10450,0.0022,100.00,0.2855,91.95
10500,0.0022,100.00,0.2832,91.66
10550,0.0021,100.00,0.2819,91.76
10600,0.0022,100.00,0.2790,91.87
10650,0.0022,100.00,0.2769,92.14
10700,0.0022,100.00,0.2722,92.22
10750,0.0022,100.00,0.2718,92.24
10800,0.0021,100.00,0.2695,92.22
10850,0.0021,100.00,0.2665,92.35
10900,0.0021,100.00,0.2645,92.40
10950,0.0021,100.00,0.2611,92.38
11000,0.0021,100.00,0.2611,92.40
11050,0.0021,100.00,0.2591,92.40
11100,0.0021,100.00,0.2563,92.56
11150,0.0021,100.00,0.2543,92.69
11200,0.0020,100.00,0.2516,92.88
11250,0.0020,100.00,0.2499,92.83
11300,0.0020,100.00,0.2469,92.88
11350,0.0021,100.00,0.2466,93.12
11400,0.0019,100.00,0.2437,93.07
11450,0.0020,100.00,0.2415,93.23
11500,0.0020,100.00,0.2402,93.12
11550,0.0020,100.00,0.2385,93.15
11600,0.0020,100.00,0.2386,93.33
11650,0.0020,100.00,0.2348,93.44
11700,0.0020,100.00,0.2326,93.44
11750,0.0020,100.00,0.2303,93.54
11800,0.0020,100.00,0.2283,93.60
11850,0.0020,100.00,0.2276,93.57
11900,0.0019,100.00,0.2245,93.76
11950,0.0019,100.00,0.2238,93.54
12000,0.0019,100.00,0.2227,93.44
12050,0.0019,100.00,0.2204,93.78
