step,train_loss,train_acc,val_loss,val_acc
0,4.7609,1.17,4.7056,0.96
50,4.6384,0.78,4.6546,0.98
100,4.5443,1.95,4.7671,0.35
150,4.3593,5.08,5.1540,0.16
200,3.8867,14.06,5.5375,0.74
250,3.3886,25.00,6.1616,1.99
300,2.3588,44.73,6.5223,2.95
350,1.3118,69.53,6.7150,6.85
400,0.6279,83.98,6.8303,12.22
450,0.2968,93.36,6.6791,18.81
500,0.2001,94.73,5.9370,26.33
550,0.1392,95.51,5.1869,34.72
600,0.1393,95.90,4.0528,43.07
650,0.1042,97.27,2.9344,52.50
700,0.0817,97.85,2.0120,60.76
750,0.0760,98.05,1.2362,72.40
800,0.0345,99.41,0.4409,87.30
850,0.0198,99.80,0.1676,94.05
900,0.0121,99.80,0.0768,97.56
950,0.0050,100.00,0.0556,98.06
1000,0.0021,100.00,0.0208,99.28
1050,0.0013,100.00,0.0090,99.79
1100,0.0008,100.00,0.0063,99.89
1150,0.0005,100.00,0.0041,99.95
1200,0.0004,100.00,0.0031,99.95
1250,0.0005,100.00,0.0020,100.00
1300,0.0005,100.00,0.0017,100.00
1350,0.0005,100.00,0.0017,100.00
1400,0.0006,100.00,0.0019,100.00
1450,0.0008,100.00,0.0021,100.00
1500,0.0010,100.00,0.0024,100.00
1550,0.0012,100.00,0.0027,100.00
1600,0.0014,100.00,0.0030,100.00
1650,0.0016,100.00,0.0033,100.00
1700,0.0018,100.00,0.0035,100.00
1750,0.0020,100.00,0.0037,100.00
1800,0.0022,100.00,0.0038,100.00
1850,0.0023,100.00,0.0038,100.00
1900,0.0022,100.00,0.0038,100.00
1950,0.0022,100.00,0.0038,100.00
2000,0.0022,100.00,0.0036,100.00
2050,0.0022,100.00,0.0035,100.00
2100,0.0021,100.00,0.0034,100.00
2150,0.0020,100.00,0.0033,100.00
2200,0.0020,100.00,0.0032,100.00
2250,0.0020,100.00,0.0031,100.00
2300,0.0020,100.00,0.0030,100.00
2350,0.0020,100.00,0.0029,100.00
2400,0.0019,100.00,0.0029,100.00
2450,0.0019,100.00,0.0028,100.00
2500,0.0018,100.00,0.0027,100.00
2550,0.0019,100.00,0.0026,100.00
2600,0.0018,100.00,0.0026,100.00
2650,0.0017,100.00,0.0025,100.00
2700,0.0017,100.00,0.0024,100.00
2750,0.0017,100.00,0.0024,100.00
2800,0.0017,100.00,0.0023,100.00
2850,0.0017,100.00,0.0022,100.00
2900,0.0016,100.00,0.0022,100.00
2950,0.0016,100.00,0.0021,100.00
3000,0.0016,100.00,0.0021,100.00
3050,0.0015,100.00,0.0020,100.00
3100,2.0484,43.16,0.0608,99.34
3150,0.0314,100.00,0.0612,99.28
3200,0.0046,100.00,0.0059,100.00
3250,0.0025,100.00,0.0028,100.00
3300,0.0013,100.00,0.0015,100.00
3350,0.0008,100.00,0.0010,100.00
3400,0.0007,100.00,0.0007,100.00
3450,0.0006,100.00,0.0007,100.00
3500,0.0006,100.00,0.0007,100.00
3550,0.0007,100.00,0.0008,100.00
3600,0.0008,100.00,0.0009,100.00
3650,0.0009,100.00,0.0010,100.00
3700,0.0010,100.00,0.0012,100.00
3750,0.0011,100.00,0.0012,100.00
3800,0.0012,100.00,0.0013,100.00
3850,0.0012,100.00,0.0013,100.00
3900,0.0012,100.00,0.0014,100.00
3950,0.0012,100.00,0.0013,100.00
4000,0.0012,100.00,0.0013,100.00
4050,0.0011,100.00,0.0013,100.00
4100,0.0011,100.00,0.0012,100.00
4150,0.0011,100.00,0.0012,100.00
4200,0.0011,100.00,0.0012,100.00
4250,0.0011,100.00,0.0012,100.00
4300,0.0010,100.00,0.0012,100.00
4350,0.0010,100.00,0.0011,100.00
4400,0.6982,76.95,0.0812,98.83
4450,0.0856,98.83,0.1967,92.61
4500,0.0153,100.00,0.0347,99.79
4550,0.0026,100.00,0.0026,100.00
4600,0.0012,100.00,0.0013,100.00
4650,0.0006,100.00,0.0007,100.00
4700,0.0004,100.00,0.0004,100.00
4750,0.0003,100.00,0.0004,100.00
4800,0.0003,100.00,0.0004,100.00
4850,0.0003,100.00,0.0004,100.00
4900,0.0004,100.00,0.0004,100.00
